index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,131.73,244.25,237.11,118.85,87.994,57.725,45.585,77.589,27.55,176.16,65.137,51.391,0.49995,0.49992,0.49991,0.49992,0.49996,0.4999,197.92,2.672,0.27901,0.70636,0,0.17282,0.70636,0.8074,0,1
2,160.15,113.73,23.349,5.3111,32.838,32.104,241.24,173.45,224.58,142.87,20.428,96.028,0.49993,0.49991,0.49994,0.49995,0.5,0.49998,179.6,2.6253,0.27901,0.70636,0,0.17209,0.70636,0.76148,0,3
3,232.73,121.57,70.003,130.99,73.385,146.66,87.504,223.36,165.7,90.155,208.79,41.811,0.49991,0.49996,0.49997,0.49998,0.49997,0.4999,222.1,2.5896,0.27942,0.70636,0.014604,0.17129,0.70636,0.71157,2,2
4,153.8,84.952,87.696,53.689,177.11,98.377,151.18,180.42,162.83,91.386,211.18,96.58,0.49994,0.49992,0.49995,0.49993,0.49994,0.49994,141.39,3.3664,0.27901,0.70636,0,0.15991,0.70636,0,0,0
5,203.95,192.05,27.252,113.68,115.44,68.158,170.77,201.15,81.906,130.4,171.05,125.5,0.49995,0.49992,0.49994,0.49993,0.49997,0.49993,162.3,4.0004,0.27901,0.70636,0,0.1721,0.70636,0.76224,0,1
6,234.49,187.05,84.671,74.671,159.16,76.974,181.99,159.46,164.58,50.984,93.364,120.45,0.49991,0.49995,0.49995,0.49992,0.49994,0.49995,147.46,3.0011,0.27901,0.70636,0,0.15991,0.70636,0,0,0
7,154.6,193.36,52.512,72.817,237.18,109.01,243.84,180.82,138.13,210.93,189.01,207.71,0.49991,0.5,0.49998,0.4999,0.49999,0.49999,223.19,2.1868,0.2702,0.70636,0.3159,0.15946,0.70636,0.02851,2,2
8,207.1,153.69,55.173,227.99,86.437,215.41,125.92,93.269,143.74,152.4,24.268,221.92,0.4999,0.49998,0.49993,0.49995,0.49999,0.49994,231.4,2.7168,0.26413,0.70636,0.53357,0.16537,0.70636,0.34105,1,1
9,41.3,158.55,104.53,189.89,22.883,156.83,152.48,50.606,94.241,147.63,67.493,35.585,0.49998,0.49993,0.49996,0.49992,0.49993,0.49994,188.87,2.1636,0.28748,0.70636,0.30352,0.15991,0.70636,0,2,0
10,193.97,161.14,96.783,59.115,61.482,137.94,16.181,200.62,170.67,162.19,98.842,186.56,0.49995,0.49992,0.49998,0.49994,0.49991,0.49998,231.33,4.2985,0.28172,0.70636,0.096852,0.1662,0.70636,0.39317,1,1
