index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,219.61,40.916,109.61,74.16,75.215,49.506,25.079,223.39,57.547,249.29,4.3491,34.636,49.166,177.21,209.8,147.12,101.61,34.314,150.14,23.66,169.65,95.177,49.307,224.87,206.67,56.351,64.902,225.17,8.9576,225.77,15.757,18.2,0.49998,0.49992,0.49993,0.49992,0.49992,0.49992,0.49996,0.5,0.49995,0.49993,0.49998,0.49993,0.49993,0.49996,0.49993,0.49992,399.95,2.3144,0.24039,0.70636,0.29048,0.26939,0.70636,0.10145,3,3
2,98.328,97.388,70.808,182.9,224.06,152.05,141.09,165.26,215.48,178.2,58.497,106.27,122.68,201.73,94.119,15.344,195.92,169.24,138.83,118.74,56.134,209.47,43.233,235.88,139.13,242.67,231.44,219.4,234.37,248.56,191.31,163.19,0.49991,0.49993,0.49991,0.49995,0.49997,0.49993,0.49996,0.49994,0.49994,0.49998,0.49992,0.49999,0.5,0.49999,0.5,0.49992,513.94,4.0498,0.23095,0.70636,0.67162,0.23124,0.70636,1.5032,3,5
3,13.692,142.84,54.092,42.068,173.56,105.37,167.15,63.103,26.568,154.22,66.872,238.81,214.72,236.41,69.23,207.51,246.79,167.39,228.29,149.38,145.97,203.33,194.82,153.83,225.02,49.16,126.76,202.08,24.2,197.77,18.654,114.65,0.49994,0.49998,0.49999,0.49992,0.49997,0.49993,0.49998,0.49999,0.49996,0.49996,0.49992,0.49996,0.49991,0.49996,0.49995,0.49994,509.68,3.3092,0.24292,0.70636,0.18807,0.23877,0.70636,1.2267,5,5
4,52.153,234.74,106.96,59.171,247.98,92.795,15.856,242.32,106.54,234.15,52.938,171.01,124.48,10.618,2.4488,148.32,209.22,68.275,61.199,205.32,125.94,86.574,113.47,225.93,7.6151,172.55,171.88,210.26,25.935,162.75,135.73,100.68,0.49999,0.49992,0.49999,0.49996,0.49998,0.49998,0.5,0.49991,0.49997,0.49997,0.49999,0.5,0.49995,0.49993,0.49995,0.49996,473.23,2.5834,0.24016,0.70636,0.29982,0.26212,0.70636,0.36861,6,7
5,110.22,162.65,200.63,127.32,25.357,218.66,228.27,52.398,11.088,109.13,94.838,66.009,36.156,199.45,105.69,202.53,52.044,43.159,169.35,192.06,81.036,103.35,72.077,88.636,153.33,129.58,102.83,199.48,54.654,39.19,96.167,103.72,0.49991,0.49995,0.49997,0.49998,0.49994,0.49995,0.49997,0.49998,0.49993,0.49996,0.49999,0.49995,0.49992,0.49992,0.49998,0.49995,477.37,2.6216,0.24567,0.70636,0.077012,0.27293,0.70636,0.028668,5,3
6,104.36,217.51,215.64,171.84,113.09,202.11,75.595,198.56,213.28,71.124,188.74,212.29,144.97,31.696,209.59,130.52,143.67,155.61,180.19,204.46,60.569,227.02,203.37,182.52,19.215,57.055,6.3007,89.021,172.69,42.956,131.98,80.012,0.49997,0.49999,0.49993,0.49996,0.49994,0.49998,0.49991,0.5,0.49997,0.49995,0.49999,0.49998,0.49992,0.49997,0.49995,0.49993,495.24,3.3626,0.22272,0.70636,1.0041,0.25954,0.70636,0.46354,5,4
7,63.103,108.58,99.601,174.47,226.99,164.4,141.19,211.82,158.24,141.55,87.954,70.165,75.585,194.54,24.021,106.42,175.38,214.35,185.56,8.2934,178.39,208.12,222.6,3.01,80.149,60.581,113.94,14.676,154.81,62.498,86.136,3.6608,0.49998,0.49996,0.49992,0.49995,0.49997,0.49991,0.49997,0.49995,0.5,0.5,0.49998,0.49998,0.49991,0.49993,0.49994,0.49998,507.32,2.4631,0.25,0.70636,0.09787,0.26011,0.70636,0.44243,5,5
8,166.01,119.3,60.835,15.778,191.2,147.39,216.58,197.1,152.58,23.333,79.567,90.956,178.33,35.627,56.401,148.46,83.111,80.545,134.9,88.823,206.96,118.97,101.58,110.35,95.264,209.93,24.007,33.319,196.72,162.2,48.406,221.02,0.49995,0.49992,0.49999,0.49998,0.49995,0.49993,0.49991,0.49995,0.49991,0.49991,0.49999,0.49997,0.49997,0.49991,0.49994,0.49994,517.47,3.1933,0.23816,0.70636,0.38041,0.25938,0.70636,0.46923,4,3
9,238.02,7.4713,226.03,96.8,181.43,75.987,165.27,222.38,171.33,213.14,168.92,92.41,36.869,167.78,23.455,141.28,73.183,239.39,130.1,181.41,183.5,123.15,177.31,224.89,236.99,190.53,211.87,127.93,143.76,83.001,115.18,25.599,0.49992,0.5,0.5,0.49995,0.49994,0.49997,0.49999,0.49997,0.5,0.49999,0.4999,0.49993,0.49993,0.49994,0.49995,0.49999,535.76,2.2465,0.24662,0.70636,0.038911,0.26443,0.70636,0.28382,5,3
10,116.55,108.05,86.731,168.06,2.921,34.206,40.184,68.097,58.411,62.654,83.04,85.138,15.612,164.29,119.25,201.11,217.66,116.34,113.11,8.7052,209.49,71.414,0.39918,234.9,44.005,38.803,161.68,225.95,55.612,40.623,142.85,201.57,0.49997,0.49993,0.49993,0.49999,0.49994,0.49996,0.49999,0.5,0.49994,0.49996,0.49998,0.49992,0.49994,0.49996,0.49996,0.49991,553.07,2.4043,0.25791,0.70636,0.41719,0.27092,0.70636,0.045528,5,4
