index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,81.345,177.98,186.36,45.891,183.07,119.63,163.68,155.16,90.4,156.32,66.442,89.983,62.986,97.123,90.655,98.708,43.012,39.183,39.814,59.717,0.49997,0.49998,0.49995,0.49997,0.49995,0.49995,0.49997,0.49998,0.49991,0.49997,256.63,5.0905,0.25644,0.70636,0.5918,0.20577,0.70636,1.4351,4,3
2,63.732,83.396,155.21,249.85,197.89,249.58,74.784,185.84,6.9191,245.49,208.98,20.93,179.88,44.553,6.8294,11.013,148.39,205.08,82.153,81.887,0.49996,0.49997,0.49999,0.49997,0.49996,0.49993,0.4999,0.49994,0.49999,0.49998,307.26,3.3732,0.24073,0.70636,1.1681,0.18651,0.70636,0.36513,5,2
3,120.77,203.66,165.43,47.19,172.93,118.95,147.8,200.95,188.64,228.66,92.283,15.072,186.03,118.36,234.45,190.52,124.58,71.027,89.531,91.544,0.49999,0.49994,0.49994,0.49995,0.49993,0.49996,0.49996,0.49998,0.49999,0.49996,370.78,3.7725,0.26077,0.70636,0.43298,0.19704,0.70636,0.95031,1,5
4,80.383,163.16,189.35,9.9164,65.056,119.67,17.699,182.67,42.343,16.544,242.59,122.96,36.777,228.07,135.68,29.081,84.574,46.455,183.26,21.586,0.49994,0.49994,0.49998,0.49997,0.49994,0.49992,0.49998,0.49999,0.49992,0.49993,381.5,2.6806,0.27771,0.70636,0.18858,0.19093,0.70636,0.61066,2,2
5,193.37,186.93,219.94,241.47,163.63,109.05,103.83,126.71,116.05,113.61,24.775,238.31,48.078,214.5,238.73,134.42,52.359,22.93,240.73,196.18,0.49996,0.49999,0.49999,0.49999,0.49991,0.49993,0.49995,0.49994,0.4999,0.49992,374.12,3.3793,0.23542,0.70636,1.363,0.18327,0.70636,0.18491,4,1
6,30.627,12.728,243.7,103.87,141.29,155.71,30.427,213.76,184.39,247.25,106.96,187.05,159.14,104.05,66.106,50.438,212.39,90.63,1.4803,85.716,0.49996,0.49993,0.49996,0.49996,0.49998,0.49998,0.49997,0.49994,0.49994,0.49998,519.23,3.2046,0.25974,0.70636,0.4707,0.19552,0.70636,0.8659,4,3
7,202.77,9.4549,114,101.92,150.09,7.6542,148.35,21.343,27.193,185.59,202.01,48.076,24.467,7.1086,10.051,215.95,248.71,161.18,68.242,26.388,0.49999,0.49996,0.49995,0.49994,0.49999,0.49995,0.49993,0.49993,0.49991,0.49999,567.09,2.6018,0.27343,0.70636,0.03161,0.19239,0.70636,0.69163,3,1
8,15.507,160.18,206.13,104.19,76.564,243.03,171.15,169.69,148.87,86.176,3.1519,206.96,227.85,204.46,56.873,138.49,138.44,50.031,65.488,56.578,0.49992,0.49991,0.49995,0.49994,0.49997,0.49995,0.49997,0.49992,0.49995,0.5,551.53,2.4931,0.27048,0.70636,0.076826,0.18972,0.70636,0.54337,1,3
9,69.108,208.4,122.58,56.738,88.457,162.71,96.295,24.155,175,25.021,51.743,232.31,16.616,126.48,36.166,55.674,32.282,106.66,118.42,109.61,0.49995,0.49999,0.49997,0.49997,0.49995,0.49999,0.49999,0.49993,0.49991,0.49998,1501.5,3.3024,0.27723,0.70636,0.17071,0.19499,0.70636,0.83614,5,3
10,34.073,92.41,168.29,144.31,190.49,154.04,239.93,159.87,25.509,218.93,50.452,116.27,224.46,47.842,214.64,94.215,226.15,96.188,209.01,169.3,0.49993,0.49993,0.49999,0.49993,0.49996,0.49995,0.49996,0.49998,0.49999,0.49995,1114.7,3.3557,0.25716,0.70636,0.56543,0.18115,0.70636,0.067043,2,4
