index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,212.54,50.395,245.44,120.48,175.17,182.49,185.33,240.75,33.496,172.13,86.335,15.418,1.981,231.91,169.21,134.06,83.318,141.43,206.42,207.7,126.67,43.083,75.22,230.79,12.457,186.36,103.79,212.96,150.98,60.058,153.03,127.77,224.11,139.61,85.469,12.068,133.5,54.725,72.683,154.7,188.11,244.3,177.79,247.42,40.887,60.709,43.201,103.19,0.49998,0.49998,0.49998,0.49994,0.4999,0.49993,0.49991,0.49991,0.49995,0.49992,0.49994,0.49992,0.49996,0.49992,0.49993,0.49993,0.49997,0.49999,0.49995,0.5,0.5,0.49993,0.49997,0.49996,721.12,2.7222,0.23524,0.70636,0.46533,0.23546,0.70636,0.37346,3,7
2,16.853,61.963,52.07,142.13,45.211,104.02,151.29,187.19,35.821,95.188,245.33,210.34,71.633,191.88,80.24,184.59,4.8495,188.43,58.585,106.18,234.07,127.32,150.34,168.63,82.74,204.34,60.708,33.331,155.95,110.04,2.3662,17.321,214.63,99.488,191.32,66.188,56.395,172.96,80.258,205.35,171.12,186.51,119.02,125.44,147.53,127.92,162.47,166.39,0.49994,0.49996,0.49996,0.49995,0.49995,0.5,0.49993,0.49994,0.49992,0.49993,0.4999,0.49995,0.5,0.49998,0.49992,0.49993,0.5,0.49994,0.49999,0.49998,0.49999,0.49991,0.49995,0.49999,700.4,2.1493,0.24313,0.70636,0.14538,0.22418,0.70636,0.12384,3,8
3,222.63,95.818,103.36,241.83,123.65,62.632,92.786,237.05,181.34,109.51,31.737,225.13,55.782,128.89,103.45,126.9,246.67,99.806,16.798,4.9696,5.5724,230.28,73.048,163.49,18.242,172.15,117.02,178.87,11.528,143.26,196.08,226.86,141.62,145.9,143.77,91.774,84.53,239.5,116.94,167.17,199.65,3.4561,104.69,204.16,240.47,28.804,86.017,7.0221,0.4999,0.49991,0.49991,0.49991,0.49994,0.49996,0.4999,0.49998,0.49997,0.49995,0.49993,0.5,0.49996,0.49992,0.49999,0.49997,0.49992,0.49998,0.49991,0.49994,0.49992,0.49992,0.49993,0.5,691.4,2.3995,0.2511,0.70636,0.17779,0.23433,0.70636,0.32354,5,5
4,187.91,75.746,25.451,187.07,148.75,230.93,161.28,155.09,102.36,242.25,214.94,240.81,82.146,49.401,107.13,150.71,51.009,239.53,130.03,246.6,186.16,18.963,149.29,176.73,148.88,16.711,32.544,104.37,241.76,158.82,13.142,29.286,139.67,73.322,28.41,15.434,132.01,221.07,224.55,46.053,32.694,249.03,142.53,200.88,57.453,91.886,154.14,72.389,0.49996,0.49992,0.49997,0.49995,0.49995,0.49997,0.49993,0.49999,0.49998,0.49993,0.49996,0.49994,0.49992,0.49998,0.49998,0.49998,0.49998,0.49992,0.4999,0.49995,0.49994,0.5,0.49997,0.49997,671.48,2.9687,0.23123,0.70636,0.62782,0.23742,0.70636,0.4595,6,7
5,160.32,69.706,207.61,99.465,57.243,126.25,182,137.72,152.97,206.42,36.117,133.04,38.876,136.06,115.2,118.18,150.9,164.59,236.76,162.06,149.59,227.31,88.354,185.78,135.27,130.99,12.49,41.884,230.68,140.67,31.85,11.614,187,34.068,239.16,223.02,175.95,91.444,62.546,223.37,114.2,157.39,173.86,72.479,164.97,224.68,9.601,238.64,0.49999,0.4999,0.49994,0.49993,0.49995,0.49999,0.49992,0.5,0.49991,0.49991,0.5,0.49991,0.49996,0.49995,0.49997,0.49997,0.49999,0.49997,0.49991,0.49996,0.49994,0.49994,0.49994,0.49994,645.21,2.2874,0.23981,0.70636,0.28003,0.22402,0.70636,0.13083,5,6
6,64.683,69.963,119.58,4.6674,157.8,195.52,124.29,50.803,136.12,174.61,9.4032,164.19,125.44,189.81,16.116,56.948,157.71,29.314,163.97,125.98,89.404,114.25,188.9,70.319,95.849,83.884,105.64,81.092,204.24,235,130.63,113.28,232.91,160.93,65.445,173.96,124.26,112.05,62.059,183.69,169.25,14.504,152.06,21.88,140.08,64.556,46.3,119.03,0.49996,0.49997,0.49993,0.49991,0.49994,0.49991,0.49996,0.49992,0.49998,0.49998,0.49992,0.49995,0.49992,0.49996,0.49995,0.49997,0.49997,0.49997,0.49996,0.49994,0.49999,0.5,0.49996,0.49997,679.48,2.2759,0.2518,0.70636,0.20584,0.23095,0.70636,0.17459,6,10
7,71.015,33.441,186.72,231.79,64.111,158.24,132.92,213.25,42.288,46.955,218.89,73.844,195.55,194.38,152.38,24.314,109.75,148.15,4.0906,72.938,232.01,101.77,143.28,53.51,7.6775,238.17,212.1,192.84,83.996,43.335,97.987,51.469,160.86,136.32,25.149,168.43,186.64,67.686,236.09,233.15,174.06,141.92,205.13,80.248,86.338,133.79,140.43,42.293,0.49997,0.49995,0.49998,0.49992,0.49997,0.49994,0.49993,0.49997,0.49995,0.49991,0.49991,0.49998,0.49999,0.49997,0.49991,0.49992,0.49999,0.49993,0.49999,0.49994,0.5,0.49994,0.49997,0.4999,671.59,2.5262,0.25609,0.70636,0.38,0.22117,0.70636,0.25618,6,6
8,246.13,70.458,65.477,196.08,42.226,229.58,70.983,209.48,207.99,237.14,21.663,193.27,94.654,107.4,156.23,31.555,118.55,53.246,191.22,8.9252,112.41,145.34,14.986,1.3741,195.39,190.15,206.31,20.601,81.26,219.86,199.87,198.71,158.65,66.727,191.06,215.75,241.17,83.024,11.234,6.6147,137.79,76.899,70.452,37.552,167.7,108.73,144.24,151.63,0.49991,0.49995,0.49998,0.49998,0.49995,0.49993,0.49993,0.49991,0.49994,0.49995,0.49992,0.49997,0.49997,0.49992,0.49997,0.49998,0.4999,0.49992,0.4999,0.49995,0.49993,0.49998,0.49993,0.5,694.81,2.2887,0.24351,0.70636,0.13003,0.22059,0.70636,0.2819,5,5
9,111.27,118.65,191.92,129.64,93.999,58.363,199.02,60.144,85.082,67.119,199.36,48.274,68.45,212.16,244.31,16.506,132.92,92.701,142.79,242.28,247.11,137.86,24.038,158.44,119,0.085026,199.57,235.37,39.4,17.424,8.1512,38.772,24.055,189.21,225.27,70.489,220.93,170.07,217.04,120.52,237.16,247.02,205.55,110.03,58.371,179.18,120.49,36.475,0.4999,0.49992,0.49993,0.49994,0.49993,0.49996,0.49992,0.5,0.49999,0.5,0.49993,0.49994,0.49994,0.49997,0.49995,0.49999,0.49994,0.49996,0.49999,0.49994,0.49993,0.49994,0.49994,0.49993,800.03,2.2733,0.23995,0.70636,0.27425,0.22964,0.70636,0.11678,4,5
10,154.53,158.41,117.16,14.454,95.06,127.41,241.2,175.94,57.242,152.49,59.474,44.181,190.45,129.02,111.92,32.283,65.655,113.92,245.47,148.31,248.93,139.53,181.44,23.541,44.176,226.92,174.13,164.44,74.168,175.62,228,143.97,147.23,88.22,236.4,134.18,229.03,208.16,113.47,124.63,199.35,123.62,128.39,74.776,129.64,21.204,208.58,245.92,0.49993,0.49999,0.49999,0.49999,0.49998,0.49998,0.5,0.49992,0.49996,0.49997,0.49994,0.49993,0.5,0.49991,0.49998,0.49997,0.49999,0.49997,0.49994,0.49993,0.5,0.49992,0.49992,0.49997,877.77,2.5728,0.24442,0.70636,0.093199,0.21316,0.70636,0.60929,8,7
