index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,is_on25,is_on26,is_on27,is_on28,is_on29,is_on30,is_on31,is_on32,is_on33,is_on34,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,39.924,128.25,106.73,227.84,84.246,239.51,184.93,35.739,1.7058,170.6,53.689,178.32,247.02,71.778,156.31,245.07,126.54,150.15,226.2,110.85,244.12,166.63,71.29,31.879,90.081,240.58,221.68,91.968,138.75,10.306,231.15,220.83,196.93,10.811,82.4,217.64,170.61,25.419,98.649,92.014,18.343,180.92,145.23,78.358,54.802,46.568,245.52,175.15,155.09,40.297,74.995,9.9981,81.148,126.73,240.87,22.883,217.03,215.22,32.542,7.5246,108.38,73.306,140.13,188.31,209.69,45.982,189.68,216.03,0.49993,0.4999,0.4999,0.49999,0.49995,0.49997,0.49993,0.49992,0.49992,0.49993,0.49994,0.49997,0.49998,0.49998,0.49991,0.49999,0.49995,0.49993,0.49993,0.49995,0.49999,0.49996,0.49991,0.49991,0.49997,0.49991,0.49993,0.49993,0.49993,0.5,0.49995,0.5,0.49998,0.49995,954.77,2.0423,0.22796,0.70636,0.01488,0.26827,0.70636,0.11845,7,8
2,218.03,162.11,24.395,38.992,27.171,40.472,227.96,100.12,148.69,209.77,117.5,45.614,173.25,103.69,130.94,178.49,17.501,5.0492,160.7,231.98,73.678,210.78,200.16,77.46,128.22,96.609,57.409,145.65,233.82,11.447,159.15,242.29,145.98,145.49,119.77,157.3,51.377,218.49,193.64,82.966,215.74,128.77,55.069,84.962,109.34,170.79,3.5601,84.593,215.8,231.36,247.6,53.115,75.745,180.51,221.74,153.13,31.439,2.2498,215.03,157.05,81.135,168.84,12.422,169.61,76.584,243.46,142.05,112.46,0.49993,0.49994,0.49998,0.49994,0.49991,0.49993,0.49995,0.49999,0.49999,0.49998,0.49996,0.49993,0.49999,0.49993,0.49999,0.4999,0.49992,0.49999,0.49991,0.49993,0.49996,0.49996,0.49994,0.49993,0.49994,0.49993,0.49992,0.49994,0.49997,0.49998,0.49992,0.49999,0.49993,0.49996,848.9,2.2718,0.23414,0.70636,0.25569,0.26876,0.70636,0.10048,8,7
3,185.69,197.44,99.568,123.7,77.555,17.444,98.894,40.014,154.98,98.681,75.941,138.14,163.45,141.27,219.1,90.408,120.27,226.22,227.48,235.69,162.26,23.485,180.19,41.927,157.7,102.42,242.88,176.47,187.41,212.5,230.3,53.797,160.18,209.86,49.571,173.69,157.89,242.87,160.02,174.13,110.28,212.83,66.779,183.23,63.616,5.4555,170.93,23.272,47.217,75.708,82.252,181.04,115.05,141.14,245.65,185.63,154.34,31.548,222.27,89.158,66.831,2.9874,237.19,129.93,157.7,6.2547,156.88,198.8,0.49998,0.49991,0.5,0.49996,0.49997,0.49991,0.49993,0.4999,0.49993,0.49998,0.49994,0.49993,0.49992,0.49999,0.49991,0.49997,0.49998,0.49997,0.49999,0.49996,0.49997,0.49996,0.49992,0.49991,0.4999,0.49995,0.49991,0.49997,0.49993,0.49997,0.49993,0.49991,0.49991,0.49993,790.14,3.0942,0.2207,0.70636,0.33304,0.24759,0.70636,0.88018,8,8
4,195.39,128.41,73.929,64.735,170.23,36.234,116.75,78.108,83.747,199.28,144.04,140.97,11.175,27.557,139.28,87.751,69.092,128.38,145.45,196.49,54.933,18.525,124.07,108.56,73.133,46.102,227.55,70.813,179.91,101.82,88.374,152.32,191.7,120.88,120.19,82.305,61.965,12.68,17.715,108.89,97.059,145.64,84.883,199.21,78.75,168.45,57.455,129.55,124.56,175.29,79.614,38.398,65.348,133.25,108.45,212.34,97.128,49.693,21.857,206.99,157.01,178.6,47.711,75.384,125.34,100.06,181.63,73.087,0.49992,0.49995,0.49994,0.49999,0.49994,0.49992,0.49993,0.49992,0.49993,0.49994,0.49991,0.49994,0.49995,0.49995,0.49993,0.49994,0.49999,0.49997,0.49997,0.49994,0.49997,0.49994,0.49995,0.49996,0.49996,0.49997,0.49995,0.49998,0.49997,0.49992,0.49996,0.49994,0.49998,0.49993,793.9,2.6612,0.23118,0.70636,0.12595,0.27215,0.70636,0.024606,4,10
5,41.927,23.716,99.932,28.265,34.408,139.97,119.24,194.28,15.109,60.888,124.72,148.92,246.48,46.974,102.43,241.78,237.81,204.21,206.62,223.94,89.565,242.43,165.76,184.33,192.12,15.898,10.371,238.02,113.55,248.13,171.64,122.27,125.69,198.48,3.9806,8.7514,241.69,174.8,52.072,152.27,57.115,182.94,119.87,214.42,101.65,170.46,115.34,136.86,88.568,199.72,29.292,205.72,195.54,110.58,201.33,71.795,117.8,182.63,21.645,174.7,232.1,54.15,28.265,42.941,212.76,90.277,156.33,234.33,0.49992,0.49998,0.49994,0.49994,0.49999,0.49997,0.4999,0.49991,0.49997,0.49993,0.49991,0.49991,0.49994,0.49993,0.49994,0.49992,0.49997,0.5,0.49996,0.49995,0.49998,0.4999,0.49999,0.49996,0.49996,0.49998,0.49999,0.49992,0.49996,0.49997,0.49993,0.49996,0.49998,0.49995,955.21,2.262,0.22955,0.70636,0.054404,0.26329,0.70636,0.302,5,12
6,98.069,195.94,38.252,241.8,215.37,152,235.49,181.4,189.11,12.228,64.183,134.1,145.54,228.11,127.92,154.47,217.81,190.3,150.36,138.21,36.635,55.953,110,115.3,79.576,170.49,115.96,77.221,182.98,132.11,198.1,140.15,227.21,203.99,218.99,180.02,23.434,230.06,233.54,136.7,108.92,84.435,35.919,114.03,209.66,96.618,148.57,62.569,219.28,70.142,61.828,182.45,98.986,77.213,146.68,186.94,192.96,248.02,83.702,35.366,149.98,41.506,162.65,103.17,90.203,39.305,183.97,191.59,0.49999,0.49993,0.49992,0.5,0.49992,0.49994,0.49993,0.49995,0.49991,0.49997,0.5,0.49994,0.49991,0.49996,0.49992,0.49995,0.49998,0.49995,0.49997,0.49994,0.49998,0.49992,0.5,0.49992,0.49992,0.49991,0.49997,0.49996,0.49994,0.49994,0.49997,0.49994,0.49999,0.49997,953.2,2.408,0.22262,0.70636,0.24914,0.26445,0.70636,0.25906,7,8
7,190.09,103.01,196.15,191.55,5.232,111.13,148.76,15.018,175.97,115.53,94.372,56.307,241.88,195.67,247.22,69.644,159.24,117.1,170.06,60.543,19.271,121.01,164.67,248.05,145.34,172.17,190.21,14.466,177.12,166.26,235.04,195.76,96.922,51.212,83.792,210.7,195.44,54.469,30.158,233.36,118.44,148.77,145.74,40.232,160.01,238.71,14.407,226.96,40.938,72.368,239.59,249.7,16.019,231.81,109.61,148.25,94.98,213.98,216.59,137.72,246.93,35.807,4.5963,208.29,86.567,201.35,24.997,151.47,0.49998,0.49992,0.49993,0.49991,0.49996,0.49995,0.49992,0.49993,0.49994,0.49999,0.49992,0.49994,0.49995,0.49997,0.49993,0.49997,0.49995,0.49992,0.49996,0.49996,0.49995,0.49998,0.49996,0.49995,0.49996,0.49999,0.49991,0.49999,0.49991,0.49992,0.49993,0.49994,0.49997,0.49991,851.09,2.6213,0.22574,0.70636,0.1123,0.25477,0.70636,0.61577,7,9
8,214.33,223.87,104.14,137.58,37.588,97.954,174.52,27.884,216.44,182.83,20.093,216.99,185.95,97.947,128.28,31.995,87.107,102.67,2.7714,174.96,233.85,54.394,185,146.68,44.56,60.417,133.24,190.23,192.31,51.144,80.995,79.797,128.25,236.13,199.57,44.48,30.333,46.43,61.468,28.789,124.22,39.84,56.979,101.88,197.47,132.93,101.68,235.85,77.298,19.622,84.066,175.13,117.47,41.703,154.02,173.53,169.3,212.03,143.58,209.44,115.3,19.738,103.51,237,237.61,130.78,118.69,80.113,0.49993,0.49999,0.49997,0.49998,0.49998,0.49999,0.49995,0.49992,0.49997,0.4999,0.49998,0.49996,0.49997,0.5,0.49996,0.49997,0.49992,0.49994,0.49993,0.49993,0.49998,0.49994,0.49995,0.49999,0.49992,0.49998,0.49998,0.49995,0.49991,0.49991,0.49997,0.49997,0.49993,0.49996,837.47,2.4455,0.2329,0.70636,0.20136,0.26236,0.70636,0.3362,13,9
9,65.889,40.39,99.24,72.516,77.253,9.8031,116.48,220.62,168.03,7.0497,45.446,92.759,115.32,100.22,243.47,91.727,238.75,12.521,237.07,48.084,13.153,69.513,222.45,106.79,69.639,201.67,160.21,231.33,160.35,56.851,210.58,82.125,13.339,117.82,135.51,227.88,143.84,97.178,172.25,111.52,51.141,87.572,172.04,122.47,18.721,64.347,99.776,80.377,98.965,204.56,90.811,178.83,176.69,238.24,96.147,220.53,248.29,55.722,62.962,99.72,54.377,187.93,194.35,16.108,210.93,156.67,112.96,216.34,0.49992,0.49992,0.49994,0.49998,0.5,0.49998,0.49991,0.49995,0.49998,0.49994,0.49994,0.49999,0.49991,0.49999,0.49993,0.49991,0.49993,0.5,0.49994,0.49991,0.49995,0.49994,0.49996,0.49991,0.4999,0.49993,0.49996,0.49993,0.49998,0.5,0.49998,0.49991,0.49991,0.5,843.68,2.4967,0.22484,0.70636,0.15174,0.25932,0.70636,0.44805,7,7
10,216.88,143.43,129.17,241.2,54.386,151.13,145.07,99.058,123.79,155.58,146.22,5.0301,176.79,153.28,93.858,150.36,212.61,243.81,224.55,137.75,176.69,86.458,221.22,199.15,190.16,171.36,18.558,161.03,161.37,47.686,54.384,141.47,249.74,212.3,50.681,234.09,68.449,13.572,74.479,221.38,201.3,150.22,49.621,248.63,180.65,73.74,94.268,134.08,28.717,128.63,174.55,113.27,160.04,47.532,26.234,100.8,135.83,36.989,236.59,230.25,202.75,202.25,210.78,133.44,27.294,21.973,58.085,198.83,0.49994,0.49996,0.49994,0.5,0.49999,0.49992,0.49997,0.49994,0.49993,0.4999,0.49992,0.49991,0.49993,0.49991,0.49994,0.49991,0.49996,0.49999,0.49998,0.49997,0.49996,0.49996,0.4999,0.5,0.49999,0.49991,0.49992,0.49993,0.49993,0.49994,0.49991,0.49991,0.49991,0.49994,853.29,2.5272,0.2188,0.70636,0.41612,0.26568,0.70636,0.21388,5,7
