index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,is_on25,is_on26,is_on27,is_on28,is_on29,is_on30,is_on31,is_on32,is_on33,is_on34,is_on35,is_on36,is_on37,is_on38,is_on39,is_on40,is_on41,is_on42,is_on43,is_on44,is_on45,is_on46,is_on47,is_on48,is_on49,is_on50,is_on51,is_on52,is_on53,is_on54,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,215.97,107.12,34.134,108.55,228.42,220.4,122.07,72.54,51.03,27.926,239.86,177.56,235.33,36.041,63.868,45.581,59.86,227.03,211.26,192.17,178.05,125.49,158.42,167.69,96.671,102.18,241.84,182.32,231.84,95.693,243.08,7.601,111.13,241.51,34.073,180.41,62.556,43.894,70.707,163.41,12.376,98.025,151.62,62.561,15.963,30.541,237.85,77.56,169.58,117.41,16.549,181.19,38.494,88.624,62.296,18.41,199.73,108.45,92.898,226.67,36.377,95.137,134.33,159.89,82.975,246.72,94.777,150.72,175.92,70.463,248.41,120.3,78.18,126.45,177.74,74.527,88.158,130.25,137.85,206.1,198.39,198.85,125.18,157.39,197.72,210.07,124.86,154.2,172.22,45.509,7.2102,4.9685,216.51,39.217,39.431,107.13,46.792,65.404,117.54,239.69,243.48,56.484,133.82,172.66,150.97,28.823,231.3,161.28,0.49998,0.49998,0.49991,0.49992,0.5,0.49996,0.49997,0.4999,0.49997,0.5,0.49998,0.49996,0.49998,0.49994,0.49998,0.49994,0.4999,0.49996,0.49997,0.49993,0.5,0.49991,0.5,0.49998,0.49993,0.5,0.49991,0.49999,0.49997,0.4999,0.49998,0.49994,0.49993,0.49993,0.49997,0.49993,0.49991,0.49991,0.49994,0.49999,0.5,0.49998,0.49995,0.49991,0.5,0.49995,0.49996,0.49994,0.49998,0.5,0.49996,0.49999,0.49999,0.49992,870,2.0947,0.2565,0.70636,0.17152,0.25052,0.70636,0.0034066,17,15
2,32.586,170.18,84.308,47.97,135.98,58.257,173.35,6.349,100.65,86.43,94.985,11.842,206.74,71.947,61.214,28.872,100.28,122.18,199.05,108.77,111.77,11.271,64.55,238.94,141.09,116.81,88.083,184.2,39.291,226.35,20.142,196.61,127.01,40.625,178.01,49.944,236.21,113.49,0.036069,83.28,19.087,242.4,116.07,235.45,104.26,147.24,65.405,26.715,243.81,102.22,53.655,176.57,195.67,81.961,81.986,178.53,153.27,62.036,246.44,123.56,37.781,202.72,62.154,44.747,113.19,141.01,161.46,229.74,153.7,94.295,220.52,96.797,172.62,243.49,2.3595,21.115,108.51,50.83,73.385,129.4,147.9,5.1984,23.918,2.0832,37.402,56.217,211.88,50.579,23.748,33.941,143.94,102.25,174.78,112.18,130.94,43.348,234.86,97.922,81.858,104.97,157.86,167.64,101.32,175.95,24.42,70.748,209.48,215.49,0.49992,0.5,0.49996,0.49994,0.49994,0.49992,0.49996,0.49995,0.49995,0.49994,0.49998,0.49996,0.49996,0.49991,0.49999,0.49993,0.49998,0.49993,0.49992,0.49996,0.49992,0.49999,0.49994,0.49999,0.49993,0.49995,0.49998,0.49994,0.49997,0.49992,0.49994,0.49997,0.49998,0.49998,0.49993,0.49993,0.49994,0.49994,0.49996,0.49997,0.49998,0.49992,0.49993,0.49993,0.49993,0.49998,0.49998,0.49991,0.49998,0.49991,0.49998,0.4999,0.49997,0.49994,882.68,2.1334,0.26503,0.70636,0.15518,0.25165,0.70636,0.048817,13,12
3,107.58,163.28,218.39,98.876,76.341,184.02,139.74,95.015,117.36,165.85,118.36,165.62,97.626,80.225,99.45,150.44,147.46,77.281,181.85,5.5404,231.78,154.92,139.35,61.876,199.84,209.37,38.01,88.25,206.72,139.31,27.838,221.48,33.157,31.148,121,130.17,58.367,217.77,49.809,98.072,110.61,107.18,60.599,65.69,103.8,64.983,28.701,146.33,39.364,214.49,21.442,203.64,75.214,152.17,101.04,63.16,79.875,41.07,190.62,225.98,104.96,154.02,113.77,115.22,143.7,48.617,123.47,203.78,47.13,144.87,195.57,191.35,46.55,86,119.65,172.49,164.08,226.6,155.34,70.012,79.77,153.33,223.49,140.18,215.78,99.725,27.38,72.562,65.87,195.33,219.33,145.89,62.448,215.68,195.75,68.639,146.04,95.28,151.98,191.61,46.36,230.9,140.81,224.89,86.361,216.65,186.56,103.53,0.49997,0.49999,0.49993,0.49994,0.49998,0.49991,0.49992,0.49993,0.49992,0.49998,0.49994,0.49997,0.49995,0.49999,0.49996,0.49996,0.49993,0.49991,0.49997,0.49997,0.49993,0.49994,0.49991,0.49994,0.49997,0.49994,0.49998,0.49992,0.49991,0.49998,0.49999,0.49992,0.49999,0.49999,0.49994,0.49995,0.49995,0.49998,0.49995,0.49994,0.49992,0.49996,0.49997,0.49994,0.49994,0.49998,0.5,0.49994,0.49995,0.5,0.49992,0.49998,0.49994,0.49999,886.86,3.0801,0.25721,0.70636,0.1442,0.23401,0.70636,0.65585,12,13
4,179.13,172.44,188.55,210.14,166.19,93.729,47.69,168.68,175.42,141.48,156.62,153.92,44.679,188.38,167.19,23.492,62.095,191.59,102.18,30.839,212.83,70.21,204.45,152.12,137.52,238.33,176.95,108.68,183.91,76.958,151.12,152.68,238.68,79.863,158.29,176.86,183.05,21.566,120.54,23.651,186.09,200.41,153.53,120.79,34.829,85.252,162.93,189.05,150.85,16.075,211.88,238.9,108.96,190.6,122.18,84.432,69.245,179.15,102.95,111.12,10.966,206.07,170.6,38.081,103.95,63.892,186.08,68.561,121.8,209.23,82.098,117.63,38.513,247.78,196.71,62.903,15.7,132.69,179.61,49.362,128.57,6.8054,149.56,54.324,211.27,235.68,90.629,90.521,243.63,161.92,208.35,3.9028,45.687,171.87,39.942,187.27,233.62,227.87,94.168,146.02,103.43,77.401,182.9,139.48,28.795,218.72,249.41,86.381,0.49997,0.49995,0.49996,0.49992,0.49992,0.49994,0.49997,0.49991,0.49992,0.49994,0.49995,0.49997,0.49992,0.49994,0.49999,0.49993,0.49997,0.5,0.49996,0.49998,0.49999,0.4999,0.49995,0.49993,0.49992,0.49998,0.49998,0.49995,0.49996,0.49992,0.49999,0.49995,0.49991,0.49998,0.49994,0.49992,0.49996,0.49991,0.49991,0.49994,0.49991,0.49999,0.49995,0.5,0.49997,0.49997,0.49996,0.49998,0.49997,0.49995,0.49998,0.49995,0.49998,0.49996,927.6,2.8289,0.24424,0.70636,0.64144,0.24324,0.70636,0.2873,14,15
5,237.6,126.06,74.643,221.66,56.045,238.95,98.066,197.21,163.71,128.82,103.07,149.1,88.714,145.87,30.153,202.75,66.052,169.43,157.49,182.57,228.43,70.992,148.4,224.06,27.669,196.57,130.71,182.28,136.39,127.2,85.351,79.66,132.22,129.62,117.97,182.02,172.93,38.494,122.02,207.04,60.53,69.92,238.02,10.177,249.02,143.7,72.407,209.28,0.14452,14.619,178.22,120.51,3.3827,67.698,73.817,41.044,129.96,8.3355,14.391,23.988,18.551,76.27,207.01,220.5,121.06,17.554,225.63,156.86,53.839,80.959,88.66,15.574,62.651,127.62,21.914,82.359,92.677,215,233.75,104.1,164.58,128.25,112.58,77.019,118.47,204.86,199.87,118.55,191.41,196.89,158.5,68.615,121.19,114.04,50.406,48.868,212.2,63.929,69.929,0.82976,197.16,140.83,181.99,110.47,138.87,126.91,168.13,153.7,0.49994,0.49997,0.49994,0.49994,0.49997,0.49994,0.49992,0.49996,0.49996,0.5,0.5,0.49995,0.49991,0.49992,0.49994,0.49996,0.49998,0.49999,0.49994,0.49997,0.49995,0.49996,0.49998,0.49995,0.49994,0.49991,0.4999,0.49997,0.49992,0.49999,0.49992,0.49994,0.49999,0.49999,0.49994,0.49993,0.49999,0.49995,0.5,0.49993,0.49996,0.49993,0.49995,0.49997,0.49999,0.49995,0.49997,0.49992,0.49999,0.49995,0.49999,0.49995,0.49999,0.49996,945.54,2.6969,0.24549,0.70636,0.59329,0.24542,0.70636,0.19995,15,18
6,204.47,27.681,234.33,146.09,30.083,170.85,18.389,122.69,133.31,11.457,227.18,73.481,224.35,198.12,228.54,180.77,232.3,3.5632,10.068,215.25,5.5168,147.47,228.88,236.9,159.39,67.823,7.945,152.2,231.11,92.608,212.17,184.78,73.552,28.807,62.15,122.33,43.563,114.39,174.63,36.114,162.7,67.69,115.68,242.23,154.92,243.98,96.034,246.83,148.47,54.574,213.56,211.17,215.53,15.701,42.693,88.425,71.636,146.28,244.16,228.56,226.71,201.92,121.1,166.25,32.701,36.992,14.439,231.5,40.132,34.863,165.06,182.74,226.44,39.938,164.77,223.55,10.768,4.5212,212.93,241.4,171.39,90.31,123.58,145.55,138.71,187.72,112.94,14.86,133.28,248.27,100.82,179.25,173.71,10.461,145.77,9.3557,114.65,14.559,13.359,23.777,21.067,5.1814,216.98,57.667,4.0988,162.66,38.386,65.881,0.49997,0.49997,0.49995,0.49994,0.5,0.49996,0.49995,0.49995,0.49992,0.49996,0.49998,0.49995,0.49995,0.49992,0.49997,0.5,0.49995,0.49996,0.49995,0.49995,0.49996,0.49995,0.49997,0.49994,0.49997,0.49995,0.49996,0.49992,0.49996,0.49997,0.49997,0.49998,0.49996,0.4999,0.49995,0.49995,0.49991,0.49993,0.49995,0.49997,0.49995,0.49994,0.49997,0.49997,0.4999,0.49995,0.49991,0.49996,0.49999,0.49994,0.49998,0.49999,0.49993,0.49991,969.24,2.4875,0.25107,0.70636,0.37961,0.24546,0.70636,0.19859,17,13
7,85.249,97.889,141.73,192.61,53.789,14.994,9.9798,35.03,49.009,110.06,127.87,241.77,157.69,197.3,172.35,75.694,148.76,168.63,2.0802,240.94,6.1682,144.4,36.292,75.723,79.454,75.39,127.69,37.005,163.33,17.582,45.418,159.4,206.78,176.49,154.09,138.74,23.617,158.15,169.35,206.7,215.73,180.45,121.41,48.283,89.598,133.06,116.01,239.47,230.08,33.509,232.76,106.87,188.85,153.64,144.2,201.24,138.94,82.953,143.34,50.445,145.55,163.7,80.464,228.11,220.36,110.37,7.1717,99.311,189.53,37.769,173.46,63.886,195.29,243.83,32.692,219.73,17.736,237.33,185.57,246.16,51.254,39.655,35.295,107.81,213.34,207.76,214.07,42.883,72.168,208.72,51.426,247.41,241.58,193.63,51.493,119.45,4.8988,86.021,148.55,83.833,32.418,107.51,185.63,18.369,110.31,2.2888,197.21,139.72,0.49996,0.49991,0.49991,0.49992,0.49998,0.49996,0.49999,0.49999,0.49994,0.49998,0.49997,0.49993,0.49995,0.49996,0.49996,0.49997,0.49997,0.49991,0.49998,0.49997,0.49991,0.49995,0.49992,0.49998,0.49997,0.49996,0.4999,0.49992,0.5,0.49997,0.49994,0.49994,0.5,0.49991,0.49993,0.49992,0.49992,0.49995,0.49998,0.49995,0.49996,0.49992,0.49999,0.49994,0.4999,0.4999,0.49993,0.5,0.49993,0.49994,0.49995,0.49991,0.49992,0.49998,1001.2,2.4483,0.25032,0.70636,0.40814,0.24718,0.70636,0.1299,16,9
8,117.27,166.78,71.173,212.46,28.465,166.77,129.96,78.533,198.3,98.632,193.89,247.7,17.521,52.749,175.64,125.68,84.355,6.2671,20.33,225.33,3.7621,1.9949,54.923,204.17,97.225,174.03,160.9,187.93,242.67,143.02,226.46,244.94,31.865,173.32,201,133.03,72.522,90.128,16.468,87.178,84.279,65.382,38.447,190.49,67.992,229.97,5.4271,195.88,118.57,27.9,192.56,222.25,207.39,96.399,194.57,95.893,58.339,181.81,245.3,98.926,186.1,166.13,173.02,214.11,129.24,162.47,86.694,47.674,0.77127,21.25,200.22,148.94,69.473,5.2677,115.13,129.63,173.77,177.13,3.4592,51.725,87.549,87.313,93.656,93.28,98.171,204.21,177.22,199.87,204.8,209.35,148.52,208.12,128.38,238.8,12.78,127.55,27.439,14.183,52.126,210.48,19.282,234.14,241.38,106.27,53.218,54.129,127.41,37.465,0.49995,0.49997,0.49997,0.49999,0.49993,0.49998,0.49995,0.49994,0.49994,0.49991,0.49991,0.49999,0.49997,0.5,0.49998,0.49998,0.49996,0.49991,0.49998,0.49993,0.49999,0.5,0.4999,0.49994,0.49991,0.5,0.49992,0.49991,0.49991,0.49996,0.49998,0.49997,0.49993,0.49993,0.4999,0.49993,0.49998,0.49999,0.49996,0.49994,0.49995,0.49998,0.49996,0.49995,0.49999,0.49993,0.49996,0.49998,0.49997,0.49994,0.49994,0.49995,0.49991,0.49996,1006.2,2.6788,0.24701,0.70636,0.53504,0.24443,0.70636,0.23961,15,13
9,155.15,139.31,215.28,54.353,200.22,39.444,44.785,38.448,91.439,143.03,17.682,149.34,127.77,64.367,151.02,208.21,55.484,93.802,83.929,144.46,113.47,109.84,118.48,59.281,63.641,26.025,238.99,154.12,230.18,100.83,204.76,34.237,215.85,44.643,180.75,19.344,137.46,111.52,55.592,170.2,193.23,56.637,198.21,101.44,176.86,91.858,243.07,32.995,179.01,157.31,157.55,126.42,96.565,96.054,184.67,93.649,115.53,81.866,92.768,25.947,20.369,61.264,198.3,239.11,182.52,60.021,110.75,29.299,232.73,175.5,147.74,41.113,216.89,65.596,29.103,29.815,153.09,187.86,187.83,142.61,57.083,25.69,152.35,167.54,226.02,95.641,205.9,74.074,109.6,5.3114,89.328,175.83,125.37,181.22,182.57,138.54,141.03,186.7,199.42,185.87,0.10223,11.218,178.49,169.42,84.921,2.0306,220.06,29.94,0.49993,0.49992,0.49991,0.49997,0.49994,0.49996,0.49999,0.49999,0.49991,0.49997,0.49991,0.49996,0.49999,0.5,0.49998,0.49996,0.49992,0.4999,0.49994,0.49997,0.49996,0.49996,0.49996,0.49997,0.49998,0.49993,0.49991,0.49996,0.49999,0.49998,0.49996,0.49999,0.49992,0.49993,0.4999,0.49996,0.49999,0.49995,0.49997,0.49993,0.49996,0.49996,0.49993,0.49999,0.49993,0.49996,0.49996,0.49992,0.5,0.49997,0.5,0.49995,0.49993,0.5,1012.9,2.2047,0.25499,0.70636,0.22933,0.24896,0.70636,0.058642,16,19
10,176.3,155.07,34.445,78.468,0.11023,185.79,237.52,140.86,62.844,141.11,141.07,24.095,248.65,199.16,245.94,78.79,148.82,92.761,91.733,45.158,144.67,34.33,197.89,135.16,54.965,37.94,203.12,32.141,88.232,99.764,158,123.24,79.847,4.1522,0.9922,232.7,120.73,44.488,51.687,213.21,52.245,8.7416,66.085,49.528,166.26,58.168,184.17,217.61,227.94,246.78,27.998,176.72,184.71,86.293,49.617,18.624,91.168,23.721,37.18,203.05,159.14,166.04,128.6,81.687,163.85,217.68,206.41,19.786,28.996,142.92,27.139,76.561,162.55,24.333,194.8,20.195,179.32,20.334,41,68.019,178.24,60.38,103.53,10.588,49.393,41.6,112.63,61.369,103.12,82.475,135.69,45.503,92.248,166.36,21.987,193.72,67.175,148.55,216.16,234.71,167.09,156.04,240.45,237.1,178.71,101.66,87.016,60.281,0.49997,0.49995,0.49999,0.5,0.49995,0.49999,0.49991,0.49991,0.49997,0.49993,0.49999,0.49997,0.49998,0.49999,0.49997,0.49992,0.5,0.49993,0.49997,0.49992,0.49993,0.49994,0.49997,0.49993,0.49994,0.49991,0.49995,0.49998,0.49991,0.49991,0.49994,0.49997,0.49991,0.49999,0.49996,0.49991,0.4999,0.49997,0.49999,0.49999,0.49992,0.49991,0.49999,0.49998,0.49996,0.49997,0.49998,0.49998,0.49996,0.49996,0.49996,0.49993,0.49991,0.5,1051.4,2.5611,0.26575,0.70636,0.18285,0.26141,0.70636,0.43838,16,17
