index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,is_on25,is_on26,is_on27,is_on28,is_on29,is_on30,is_on31,is_on32,is_on33,is_on34,is_on35,is_on36,is_on37,is_on38,is_on39,is_on40,is_on41,is_on42,is_on43,is_on44,is_on45,is_on46,is_on47,is_on48,is_on49,is_on50,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,122.46,155.89,2.1615,153.73,122.46,127.54,33.425,249.99,216.56,155.88,125.4,33.437,216.57,31.275,250,153.74,94.112,124.61,216.56,124.61,0.011253,2.1512,155.89,155.89,155.88,216.57,31.285,94.124,218.71,218.72,2.1512,122.45,0.010449,96.264,94.114,0.010202,249.99,247.85,216.57,153.74,125.39,2.1603,218.72,247.85,125.39,218.71,125.4,127.54,218.71,122.45,124.61,94.112,247.84,2.1614,124.61,33.425,249.99,153.73,31.275,153.73,153.74,216.56,2.1616,94.112,31.286,216.57,31.275,153.74,0.010449,250,249.99,153.73,96.262,247.84,216.57,94.112,2.1513,124.6,33.426,122.45,218.71,94.113,124.6,122.46,31.276,96.273,33.426,96.263,153.73,96.262,155.89,127.54,247.84,124.6,125.4,218.72,247.85,0.010237,125.4,31.276,0.49995,0.49995,0.49999,0.4999,0.49996,0.49991,0.49999,0.4999,0.5,0.5,0.4999,0.49991,0.49999,0.4999,0.49991,0.4999,0.5,0.49994,0.5,0.49995,0.49999,0.49991,0.4999,0.49999,0.49999,0.49991,0.49999,0.49999,0.49995,0.49999,0.4999,0.49995,0.4999,0.5,0.49996,0.5,0.4999,0.49994,0.4999,0.49995,0.49995,0.49999,0.49995,0.49999,0.5,0.4999,0.49996,0.49999,0.4999,0.49995,7.2098,2867.3,1666.7,1000,0,0.66199,200,0.0057082,12,14
2,72.414,72.414,100.37,72.414,177.59,80.697,177.59,72.414,149.63,177.59,72.414,149.63,149.63,149.63,72.414,100.37,177.59,149.63,149.63,149.63,149.63,177.59,72.414,177.59,149.63,72.414,177.59,177.59,177.59,72.414,100.37,149.63,149.63,72.414,100.37,100.37,100.37,72.414,149.63,177.59,72.414,72.414,100.37,72.414,149.63,177.59,72.414,149.63,72.414,149.63,72.414,177.59,177.59,149.63,100.37,149.63,100.37,177.59,100.37,177.59,149.63,177.59,72.414,177.59,149.63,100.37,72.414,177.59,72.414,149.63,149.63,72.414,72.414,177.59,149.63,149.63,72.414,100.37,177.59,100.37,177.59,177.59,100.37,72.414,149.63,100.37,100.37,100.37,177.59,149.63,149.63,72.414,177.59,149.63,100.37,100.37,100.37,100.37,177.59,149.63,0.49997,0.49999,0.49997,0.5,0.49997,0.49999,0.49997,0.49997,0.49997,0.49999,0.49999,0.49997,0.5,0.5,0.49996,0.5,0.5,0.5,0.49997,0.5,0.49999,0.49999,0.49997,0.49996,0.49996,0.5,0.49999,0.49996,0.49999,0.5,0.49997,0.5,0.5,0.49999,0.49996,0.49999,0.49997,0.49997,0.5,0.5,0.49996,0.5,0.49996,0.49997,0.49999,0.5,0.5,0.49996,0.5,0.5,4.6366,2867.4,1666.7,1000,0,0.66323,200,0.024403,25,25
3,8.8554,46.241,178.49,50.418,71.045,200.27,196.46,50.038,203.54,31.512,198.16,245.4,196.25,191.89,39.346,189.69,31.657,75.886,93.449,8.104,223.48,54.008,80.055,8.4576,197.68,95.118,67.357,195.43,186.41,0.79586,214.72,68.685,31.382,226.65,74.722,16.686,203.37,79.606,23.353,202.48,74.24,72.818,51.655,177.43,193.54,3.7623,182.17,194.93,236.82,72.258,169.8,48.507,50.933,178.85,95.821,207.91,25.866,197.23,29.922,29.925,157.21,36.144,33.546,203.07,49.052,7.8017,87.308,214.88,42.433,28.86,101.38,52.681,197.69,214.64,201.7,95.036,159.46,200.4,213.88,174.68,179.47,160.36,99.302,51.203,3.4936,191.14,37.53,77.213,68.907,58.122,76.763,180.53,38.441,202.12,70.489,16.177,93.18,221.17,46.315,57.574,0.5,0.49993,0.49992,0.49991,0.49994,0.49992,0.49992,0.49998,0.49992,0.49991,0.49993,0.49992,0.49994,0.49992,0.49999,0.49997,0.49997,0.49991,0.49998,0.49991,0.49998,0.49998,0.49998,0.49998,0.49996,0.49999,0.49997,0.49999,0.49994,0.49991,0.49999,0.4999,0.49997,0.5,0.49994,0.4999,0.49999,0.49993,0.49997,0.5,0.49996,0.49992,0.49998,0.49992,0.49992,0.49997,0.49994,0.49996,0.49999,0.49992,9.6622,2867.3,1666.7,1000,0,0.66146,200,0.002282,11,14
4,176.99,137.88,176.41,248.62,73.59,40.488,248.04,40.488,73.01,137.88,112.7,137.88,40.488,137.88,40.488,40.488,40.488,112.12,137.3,1.3766,1.957,137.3,73.59,248.62,248.62,73.59,40.488,112.12,137.3,248.62,41.068,112.7,1.3766,176.99,112.7,1.3766,1.957,112.12,137.3,1.3766,40.488,40.488,73.01,1.957,73.01,137.3,73.097,40.488,73.59,176.99,248.04,112.12,73.59,73.59,176.41,112.12,208.93,112.12,1.957,112.7,112.7,137.3,209.51,146.64,137.88,41.068,176.41,209.51,1.3766,176.99,41.068,41.068,248.62,137.3,208.93,248.62,248.62,73.01,73.59,1.957,137.3,176.99,248.62,248.62,248.62,112.12,137.3,208.93,248.62,41.068,40.488,209.51,248.04,41.068,73.01,41.068,73.01,73.59,41.068,1.3766,0.49993,0.49996,0.5,0.49998,0.5,0.49993,0.49997,0.49993,0.49998,0.4999,0.49995,0.49997,0.4999,0.49996,0.49993,0.49998,0.49996,0.4999,0.5,0.49997,0.49996,0.5,0.49993,0.5,0.49998,0.49992,0.49995,0.5,0.49998,0.49993,0.49996,0.49996,0.49992,0.49993,0.49998,0.49992,0.4999,0.49992,0.49997,0.5,0.4999,0.49993,0.5,0.49996,0.49998,0.4999,0.49998,0.4999,0.4999,0.49997,5.1484,2867.3,1666.7,1000,0,0.66232,200,0.010758,16,12
5,60.254,83.203,69.859,236.62,82.931,247.92,60.687,154.26,190.83,25.308,236.85,155.29,37.193,154.1,236.19,223.89,26.575,249.73,14.63,248.18,179.77,95.898,60.809,213.43,223.2,13.943,58.683,37.965,187.97,155.84,2.8665,61.527,155.04,70.097,85.44,189.02,61.214,3.484,71.433,37.193,60.761,225.14,85.015,1.2684,237,35.773,213.63,247.31,224.68,2.1065,25.443,235.88,2.7875,177.66,61.154,165.63,13.585,167,235.86,84.025,82.426,72.896,71.197,2.9999,224.42,71.377,59.235,25.978,248.4,213.41,178.55,35.593,71.694,27.183,1.8269,237.58,13.169,189.26,25.441,211.65,71.278,14.339,25.996,71.108,95.913,213.12,36.966,188.59,180.24,214.24,35.528,61.201,235.74,155.43,214.41,154.52,95.671,189.19,11.904,2.3023,0.49998,0.49991,0.49994,0.4999,0.49996,0.5,0.49999,0.49999,0.49998,0.49999,0.49991,0.49992,0.49991,0.49997,0.49998,0.5,0.49999,0.49998,0.49993,0.49999,0.49994,0.49991,0.49999,0.49997,0.49999,0.49991,0.49993,0.49994,0.49991,0.49996,0.49992,0.49993,0.4999,0.49993,0.49999,0.49993,0.5,0.49992,0.49997,0.49991,0.4999,0.49999,0.49999,0.49999,0.49996,0.49991,0.49998,0.49999,0.49994,0.49997,9.7092,2867.3,1666.7,1000,0,0.66096,200,0.0098568,16,11
6,1.7205,218.52,219.75,0.49633,114.99,31.477,249.5,114.99,133.78,135.01,116.22,248.28,219.75,135.01,104.03,249.5,219.75,249.5,104.03,249.5,105.25,218.52,145.97,114.99,116.22,116.22,218.52,114.99,219.75,218.52,133.78,144.75,30.252,248.28,249.5,133.78,1.7205,218.52,31.477,116.22,30.252,0.49633,145.97,219.75,249.5,144.75,144.75,144.75,114.99,218.52,30.252,218.52,0.49633,219.75,31.477,218.52,104.03,30.252,144.75,114.99,144.75,248.28,31.477,116.22,133.78,249.5,219.75,219.75,1.7205,31.477,248.28,248.28,31.477,31.477,116.22,116.22,249.5,105.25,105.25,135.01,1.7205,31.477,105.25,1.7205,218.52,114.99,249.5,144.75,114.99,226.47,218.52,144.75,1.7205,249.5,105.25,116.22,248.28,116.22,218.52,114.99,0.49996,0.49996,0.5,0.4999,0.49994,0.5,0.49995,0.49994,0.49996,0.4999,0.49995,0.49996,0.49996,0.49995,0.49995,0.49996,0.49995,0.49999,0.49996,0.49996,0.49995,0.49995,0.49994,0.49994,0.5,0.49996,0.49995,0.4999,0.49996,0.4999,0.49999,0.49995,0.49996,0.49994,0.49999,0.49995,0.49995,0.49995,0.49999,0.49994,0.49991,0.49994,0.49995,0.49996,0.49999,0.49994,0.49996,0.49995,0.5,0.4999,5.5677,2867.4,1666.7,1000,0,0.65683,200,0.072253,16,14
7,6.8861,6.8861,6.8861,26.958,243.11,6.8861,6.8861,223.04,26.958,26.958,6.8861,223.04,26.958,243.11,6.8861,243.11,223.04,26.958,223.04,6.8861,223.04,223.04,243.11,223.04,6.8861,243.11,26.958,223.04,26.958,243.11,223.04,26.958,26.958,243.11,243.11,26.958,26.958,223.04,6.8861,243.11,223.04,223.04,243.11,243.11,6.8861,223.04,223.04,26.958,223.04,243.11,243.11,223.04,223.04,223.04,223.04,26.958,26.958,6.8861,223.04,26.958,26.958,223.04,243.11,243.11,243.11,6.8861,223.04,243.11,223.04,6.8861,243.11,6.8861,223.04,6.8861,223.04,243.11,243.11,243.11,243.11,6.8861,26.958,26.958,6.8861,223.04,243.11,6.8861,243.11,223.04,243.11,6.8861,223.04,243.11,243.11,26.958,243.11,223.04,6.8861,243.11,223.04,223.04,0.49991,0.5,0.49991,0.49991,0.49991,0.49999,0.49999,0.5,0.49991,0.49991,0.49991,0.49991,0.5,0.49991,0.5,0.49991,0.5,0.49991,0.49999,0.49991,0.5,0.5,0.49991,0.49999,0.49999,0.49991,0.49991,0.49991,0.49991,0.49991,0.49999,0.49991,0.5,0.49991,0.49999,0.49999,0.49999,0.5,0.49991,0.49991,0.49999,0.49999,0.49991,0.49999,0.49991,0.49991,0.49991,0.49991,0.5,0.49991,4.6958,2867.4,1666.7,1000,0,0.65795,200,0.055397,12,10
8,71.707,185.49,200.55,28.777,189.71,71.707,49.452,164.82,176.23,80.969,96.024,96.024,214.02,60.294,221.22,71.707,71.707,88.823,71.707,157.62,133.3,153.98,157.62,35.977,157.62,214.02,214.02,200.55,35.977,60.294,133.3,164.82,92.382,157.62,221.22,185.49,189.71,161.18,200.55,178.29,49.452,178.29,178.29,60.294,73.768,71.707,185.49,49.452,53.093,109.5,200.55,80.969,109.5,53.093,185.49,221.22,196.91,193.35,196.91,80.969,214.02,49.452,169.03,96.024,157.62,133.3,49.452,116.7,176.23,169.03,64.506,53.093,96.024,196.91,92.382,92.382,193.35,153.98,178.29,169.03,73.768,176.23,53.093,140.5,157.62,88.823,214.02,64.506,221.22,193.35,153.98,140.5,196.91,71.707,88.823,193.35,200.55,153.98,164.82,60.294,0.49998,0.49999,0.49999,0.49999,0.49996,0.49994,0.49996,0.5,0.49992,0.49992,0.49999,0.49994,0.49993,0.5,0.49998,0.49999,0.49997,0.49997,0.49993,0.49999,0.49998,0.49998,0.5,0.49993,0.49993,0.49997,0.5,0.49994,0.49998,0.49995,0.49992,0.49992,0.49995,0.49999,0.49998,0.49994,0.49998,0.49999,0.49994,0.49993,0.49999,0.49999,0.49999,0.49998,0.49994,0.49998,0.49996,0.49993,0.49999,0.5,6.4531,2867.3,1666.7,1000,0,0.66066,200,0.014465,17,15
9,114.63,215.37,55.993,112.94,110.36,208.87,125.68,19.788,236.93,102.22,13.481,12.829,19.214,215.16,138.91,133.49,209.53,221.47,102.06,230.28,91.671,2.6442,167.5,20.186,139.85,187.72,145.23,35.018,114.72,136.08,41.271,200.73,122.85,223.59,89.583,24.816,152.37,145.66,215.15,107.84,148.78,209.03,142.31,62.458,137.17,138.13,41.336,49.489,31.734,228.07,40.66,194.04,132.17,121.55,104.59,243.29,213.48,135.98,126.69,62.312,129.78,118.65,82.815,132.79,206.83,145.97,202.83,118.44,34.861,41.15,40.946,129.34,224.38,167.26,107.07,167.68,166.83,123.34,126.5,43.474,161.03,114.59,85.061,166.94,219.63,137.85,126.97,84.983,193.87,130.84,129.57,115.06,142.96,30.574,212.99,129.9,22.421,123.26,120.6,40.998,0.49999,0.49995,0.49995,0.49999,0.4999,0.49995,0.49992,0.49998,0.49995,0.49996,0.49995,0.49995,0.49999,0.49996,0.49991,0.49996,0.49991,0.49991,0.49996,0.49999,0.49996,0.49997,0.49999,0.49995,0.49996,0.49994,0.49991,0.49992,0.5,0.4999,0.49992,0.49991,0.49994,0.4999,0.4999,0.49994,0.49991,0.49998,0.49996,0.49996,0.49995,0.49991,0.49999,0.49998,0.49995,0.49991,0.49999,0.49994,0.4999,0.49991,7.5091,2867.3,1666.7,1000,0,0.66076,200,0.012896,14,8
10,110.72,110.72,17.38,218.78,139.28,232.62,232.62,153.13,153.13,232.62,153.13,218.78,96.873,153.13,218.78,218.78,218.78,139.28,218.78,96.873,218.78,153.13,153.13,218.78,139.28,232.62,17.38,96.873,110.72,110.72,218.78,218.78,17.38,31.224,96.873,139.28,110.72,232.62,218.78,17.38,218.78,17.38,153.13,31.224,139.28,218.78,153.13,17.38,96.873,232.62,218.78,96.873,96.873,218.78,96.873,218.78,17.38,17.38,153.13,31.224,110.72,232.62,31.224,153.13,96.873,153.13,110.72,153.13,139.28,31.224,153.13,31.224,232.62,232.62,218.78,96.873,96.873,232.62,232.62,31.224,31.224,232.62,232.62,139.28,153.13,31.224,31.224,153.13,110.72,110.72,17.38,31.224,232.62,17.38,31.224,31.224,31.224,232.62,96.873,218.78,0.5,0.49999,0.49997,0.5,0.49992,0.49991,0.49992,0.49995,0.49995,0.49996,0.49992,0.49997,0.49995,0.49999,0.49995,0.49995,0.49995,0.49992,0.5,0.5,0.49995,0.49995,0.49991,0.49995,0.5,0.49995,0.49996,0.49995,0.49991,0.49995,0.49992,0.49997,0.49997,0.49996,0.49995,0.49995,0.5,0.5,0.49991,0.49997,0.49992,0.49995,0.49999,0.49995,0.49999,0.5,0.49992,0.49995,0.49992,0.49991,4.785,2867.4,1666.7,1000,0,0.66507,200,0.052245,12,13
