index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,245.46,16.092,16.092,241.24,249.93,246.75,2.9242,16.092,11.616,7.73,247.08,249.93,7.3993,4.8717,7.73,8.4274,246.75,245.46,247.08,11.616,0.49999,0.49999,0.4999,0.5,0.49991,0.4999,0.49991,0.4999,0.49991,0.4999,6.1263,2867.3,1666.7,1000,0,0.61973,200,0,3,0
2,60.741,12.849,249.8,60.544,54.778,243.19,6.8829,201.78,182.57,243.28,243.12,19.339,201.98,60.738,249.91,19.476,230.47,189.42,243.28,189.35,0.49993,0.49997,0.49997,0.5,0.49998,0.4999,0.49991,0.49991,0.49992,0.49991,6.8727,2867.3,1666.7,1000,0,0.61973,200,0,4,0
3,60.099,60.099,189.9,60.099,189.9,60.099,60.099,60.099,189.9,60.099,60.099,189.9,189.9,60.099,189.9,189.9,60.099,189.9,189.9,189.9,0.5,0.49995,0.5,0.49995,0.5,0.49995,0.49995,0.49995,0.49995,0.49995,4.3282,2867.3,1666.7,1000,0,0.61973,200,0,3,0
4,73.063,217.07,200.38,217.07,64.272,80.962,49.622,73.063,73.063,49.622,176.94,89.753,73.063,217.07,40.832,225.86,24.142,160.25,217.07,217.07,0.49994,0.49993,0.49995,0.49992,0.49994,0.49995,0.49999,0.49993,0.49994,0.49993,5.3482,2867.3,1666.7,1000,0,0.61743,200,0.037146,0,1
5,107.8,117.24,153.39,108.67,84.53,108.03,84.53,192.27,113.39,210.27,186.98,136.61,239.78,98.6,63.022,156.27,156.12,187.15,153.39,50.94,0.49993,0.49996,0.5,0.49996,0.49992,0.49994,0.49994,0.49992,0.49994,0.49993,7.2279,2867.3,1666.7,1000,0,0.61973,200,0,3,0
6,77.002,154.83,17.902,82.835,142.81,168.05,100.42,113.05,96.217,107.45,232.1,19.625,204.48,50.828,56.432,155.04,13.246,217.91,37.745,67.569,0.49991,0.49991,0.49997,0.49997,0.49996,0.49992,0.49993,0.49994,0.49992,0.49991,11.313,2867.3,1666.7,1000,0,0.61973,200,0,3,0
7,190.52,59.477,59.477,59.477,59.477,190.52,190.52,190.52,190.52,59.477,190.52,190.52,59.477,190.52,59.477,190.52,59.477,190.52,190.52,59.477,0.5,0.5,0.5,0.49995,0.49995,0.49995,0.49995,0.49995,0.49995,0.49995,4.3659,2867.3,1666.7,1000,0,0.61973,200,0,3,0
8,85.077,179.24,122.51,45.586,125.81,107.79,152.36,139.77,32.552,113.09,126.53,110.64,31.118,189.31,179.17,201.89,101.43,120.22,158.44,119.93,0.49994,0.49992,0.49993,0.49995,0.49992,0.49997,0.49998,0.49996,0.49995,0.49998,7.4643,2867.3,1666.7,1000,0,0.61938,200,0.0057092,0,4
9,77.814,86.712,1.3803,30.284,152.28,181.19,14.396,163.79,21.283,86.207,86.207,1.629,83.493,166.51,80.074,165.3,183.15,97.717,232.19,66.553,0.49997,0.49997,0.49997,0.4999,0.49999,0.49994,0.49993,0.49994,0.4999,0.49993,6.2865,2867.3,1666.7,1000,0,0.61973,200,0,4,0
10,242.48,5.8754,7.0291,6.5979,246.34,10.748,3.6414,14.815,246.89,6.8598,10.874,10.068,3.11,248.85,239.97,241.77,7.6663,236.06,14.092,248.15,0.49991,0.4999,0.4999,0.5,0.5,0.4999,0.49991,0.4999,0.4999,0.4999,7.0853,2867.3,1666.7,1000,0,0.61973,200,0,2,0
