index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,121.58,95.67,149.82,103.14,111.39,63.42,120.2,51.306,39.151,112.62,37.841,195.89,154.09,152.83,224.34,133.41,91.259,87.176,79.868,156.98,225.04,125.54,195.58,54.092,137.47,95.678,190.24,157.98,119.92,79.821,46.477,70.173,95.029,64.054,169.93,53.758,98.935,62.982,232.68,46.286,55.059,153.18,129.49,58.555,58.793,241.46,51.074,165.5,0.49999,0.49993,0.49997,0.49996,0.49994,0.49996,0.49996,0.49995,0.49994,0.49994,0.49998,0.49993,0.49997,0.4999,0.49993,0.49995,0.49993,0.49994,0.49995,0.49997,0.49994,0.49993,0.5,0.49994,8.3909,2867.4,1666.7,1000,0,0.75423,200,0.028437,7,4
2,152.64,150.21,220.65,2.751,123.37,60.739,146.03,123.3,87.026,87.167,38.005,69.852,214.27,89.741,143.42,220.69,38.309,220.55,118.45,38.241,118.89,215.63,64.97,135.46,120.89,143.45,89.581,99.735,249.97,213.76,69.993,209.35,213.88,218.07,0.21275,131.08,116.52,89.57,87.846,6.8811,215.96,104.18,116.39,133.49,218.68,143.49,220.48,106.58,0.49999,0.49995,0.49996,0.49999,0.49994,0.49993,0.49995,0.49996,0.4999,0.49997,0.49999,0.49993,0.5,0.4999,0.49995,0.49991,0.49992,0.49996,0.49997,0.49997,0.49995,0.49995,0.49994,0.49997,13.642,2867.4,1666.7,1000,0,0.75698,200,0.0079884,7,7
3,170.75,15.462,15.462,79.25,234.54,170.75,234.54,234.54,170.75,234.54,170.75,79.25,15.462,15.462,170.75,170.75,170.75,79.25,234.54,15.462,170.75,170.75,15.462,170.75,234.54,234.54,170.75,170.75,234.54,15.462,234.54,79.25,79.25,79.25,234.54,234.54,170.75,79.25,15.462,79.25,234.54,15.462,234.54,15.462,15.462,170.75,15.462,170.75,0.49994,0.49994,0.5,0.49997,0.5,0.49997,0.49997,0.49994,0.49997,0.49991,0.49994,0.5,0.49991,0.49991,0.5,0.49991,0.49994,0.49991,0.49994,0.49991,0.5,0.49997,0.5,0.49994,4.5721,2867.5,1666.7,1000,0,0.75324,200,0.041452,7,4
4,80.404,6.503,80.404,182.13,182.13,6.503,141.78,67.875,243.5,6.503,169.6,80.404,141.78,141.78,243.5,108.22,80.404,6.503,169.6,243.5,243.5,182.13,108.22,182.13,182.13,6.503,108.22,243.5,182.13,169.6,182.13,169.6,243.5,141.78,108.22,108.22,182.13,141.78,6.503,182.13,141.78,108.22,6.503,80.404,80.404,6.503,182.13,6.503,0.49993,0.49991,0.49993,0.49991,0.5,0.49993,0.49993,0.49998,0.49991,0.49995,0.49991,0.49998,0.5,0.49991,0.49996,0.49993,0.49993,0.5,0.49996,0.49997,0.49997,0.49993,0.5,0.49993,4.7757,2867.4,1666.7,1000,0,0.75542,200,0.012609,3,7
5,60.591,242.76,243.5,202.84,65.265,105.07,247.56,47.809,47.164,100.38,59.76,184.2,209.99,41.681,66.783,144.06,210.75,183.22,183.16,183.07,191.03,247.6,204.47,204.52,41.469,208.44,210.05,183.13,45.678,150.31,7.2381,39.983,209.13,65.068,204.44,66.799,249.78,8.7721,100.44,105.04,99.56,150.4,58.813,100.27,209.21,104.85,249.93,104.96,0.49998,0.49996,0.49992,0.49997,0.4999,0.49996,0.49996,0.49997,0.5,0.49998,0.49992,0.49994,0.49992,0.5,0.49998,0.49996,0.5,0.4999,0.49996,0.49996,0.49998,0.5,0.49996,0.4999,7.1624,2867.5,1666.7,1000,0,0.75155,200,0.063889,8,9
6,52.757,0.85378,224.2,241.84,172.29,8.1594,25.803,77.706,224.2,249.15,0.85378,8.1594,172.29,25.803,197.24,241.84,70.4,172.29,8.1594,189.94,172.29,70.4,25.803,60.063,8.1594,224.2,179.6,0.85378,197.24,249.15,241.84,60.063,224.2,231.5,249.15,60.063,0.85378,8.1594,8.1594,25.803,197.24,241.84,0.85378,52.757,77.706,25.803,241.84,231.5,0.49992,0.49997,0.49992,0.49993,0.49998,0.49993,0.49992,0.49998,0.49999,0.4999,0.49992,0.49991,0.49998,0.5,0.49999,0.49993,0.49999,0.5,0.5,0.49993,0.4999,0.49998,0.4999,0.49993,5.5098,2867.6,1666.7,1000,0,0.7457,200,0.14117,4,7
7,21.413,175.05,103.54,165.45,202.35,179.9,38.745,104.64,64.985,26.264,166.02,68.436,243.3,95.241,108.82,181.56,196.02,210.16,52.504,10.15,103.54,80.224,80.224,154.76,219.56,96.338,223.74,26.264,103.54,216.11,128.38,55.384,191.17,79.128,137.73,98.692,80.224,151.31,71.498,112.27,239.85,80.224,21.413,141.18,196.02,228.59,5.2992,175.05,0.49994,0.49995,0.49995,0.49993,0.49994,0.49996,0.49997,0.49992,0.49998,0.49997,0.49997,0.49998,0.49993,0.49998,0.49993,0.49992,0.49994,0.49999,0.49995,0.5,0.49994,0.49994,0.4999,0.49991,6.9104,2867.5,1666.7,1000,0,0.75852,200,0.028375,6,3
8,65.114,184.89,12.598,85.252,184.89,164.75,32.737,164.75,217.26,12.598,164.75,85.252,217.26,164.75,184.89,85.252,65.114,12.598,12.598,32.737,32.737,217.26,12.598,184.89,65.114,32.737,164.75,184.89,217.26,237.4,237.4,164.75,12.598,85.252,12.598,12.598,184.89,85.252,65.114,12.598,164.75,217.26,184.89,164.75,12.598,217.26,85.252,184.89,0.49992,0.49999,0.49999,0.49998,0.49992,0.49993,0.49992,0.49994,0.49998,0.5,0.49998,0.49991,0.49997,0.49998,0.49992,0.49999,0.49994,0.49994,0.49991,0.49999,0.49991,0.49991,0.49994,0.49994,4.7891,2867.4,1666.7,1000,0,0.75446,200,0.025383,6,4
9,206.84,181.16,159.66,75.851,182.55,89.21,23.237,197.42,245.06,155.27,77.385,209.15,43.739,199.09,198.99,56.392,178.29,178.09,9.3183,21.384,73.739,171.85,228.87,37.467,91.757,208.43,5.1812,48.569,168.28,38.302,61.373,89.972,17.241,199.22,84.681,234.06,19.084,227.76,43.468,176.08,179.59,30.616,162.01,225.78,227.16,18.217,72.754,177.39,0.49994,0.49991,0.49998,0.49998,0.49997,0.49991,0.49992,0.49999,0.49998,0.49997,0.49992,0.49991,0.49997,0.49997,0.49993,0.49991,0.49993,0.49999,0.49998,0.49991,0.49996,0.4999,0.49997,0.5,9.5212,2867.5,1666.7,1000,0,0.7531,200,0.043275,6,7
10,71.617,154.66,76.551,20.383,25.447,100.33,220.72,100.46,115.09,220.72,158.75,244.49,244.49,96.182,29.592,206.2,149.43,19.944,134.91,244.69,20.188,154.49,225.67,24.089,19.829,24.413,226.03,149.48,71.178,225.83,178.27,29.398,71.538,91.118,91.363,225.72,149.59,224.55,0.44261,76.487,154.3,250,5.4274,129.65,100.21,205.65,249.44,135.03,0.49999,0.49995,0.49991,0.49995,0.49999,0.49999,0.49994,0.49995,0.49996,0.49999,0.49994,0.49993,0.5,0.4999,0.49996,0.49995,0.49992,0.49996,0.49995,0.49998,0.49996,0.5,0.49993,0.49999,6.426,2867.5,1666.7,1000,0,0.75168,200,0.062128,8,8
