index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,is_on25,is_on26,is_on27,is_on28,is_on29,is_on30,is_on31,is_on32,is_on33,is_on34,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,235.14,234.66,235.28,70.757,180.84,136.99,151.1,149.41,160.16,81.574,247.08,163.52,85.888,2.7839,237.43,222.73,86.482,98.441,153.73,67.995,166.15,166.96,139.76,220.1,83.72,247.22,149.28,247.22,110.38,95.679,155.02,167.31,166.82,113.14,0.022034,70.623,166.82,70.757,164.54,166.87,179.38,85.888,17.617,83.041,2.9181,110.24,220.1,81.44,168.43,153.86,95.112,97.874,100.72,100.59,166.87,182,97.739,153.86,154.32,232.52,83.041,17.483,167.31,94.978,2.9181,163.38,155.02,97.874,0.49996,0.49993,0.49999,0.49994,0.49994,0.49991,0.49995,0.49996,0.49993,0.49997,0.49996,0.49993,0.49997,0.49996,0.49996,0.5,0.5,0.49994,0.49994,0.4999,0.49997,0.49993,0.49997,0.49993,0.49994,0.49994,0.49997,0.49997,0.49994,0.49997,0.49993,0.49991,0.49996,0.49997,5.7876,2867.4,1666.7,1000,0,0.69466,200,0.0078076,10,7
2,247.03,18.449,63.636,247.03,79.113,231.55,186.36,247.03,18.449,170.89,186.36,18.449,79.113,63.636,2.9719,231.55,247.03,231.55,170.89,63.636,170.89,231.55,231.55,170.89,247.03,18.449,170.89,63.636,2.9719,247.03,186.36,247.03,186.36,170.89,79.113,170.89,247.03,63.636,170.89,231.55,63.636,63.636,2.9719,247.03,79.113,63.636,247.03,63.636,247.03,79.113,18.449,2.9719,231.55,186.36,186.36,79.113,63.636,231.55,63.636,79.113,18.449,231.55,186.36,231.55,2.9719,18.449,79.113,79.113,0.5,0.49993,0.49993,0.49997,0.49998,0.4999,0.4999,0.49999,0.49993,0.49993,0.49993,0.5,0.49997,0.49999,0.49991,0.5,0.49997,0.5,0.49993,0.49999,0.49993,0.49991,0.5,0.49993,0.49999,0.49991,0.49993,0.49997,0.49997,0.49998,0.49998,0.49993,0.49993,0.5,5.2885,2867.4,1666.7,1000,0,0.69458,200,0.0067375,9,9
3,72.402,91.093,158.91,91.093,91.093,158.91,177.6,177.6,177.6,91.093,177.6,91.093,177.6,177.6,91.093,91.093,158.91,177.6,177.6,72.402,91.093,177.6,177.6,91.093,177.6,91.093,91.093,177.6,177.6,91.093,158.91,158.91,72.402,177.6,177.6,91.093,72.402,91.093,72.402,158.91,177.6,72.402,91.093,177.6,91.093,177.6,72.402,91.093,158.91,72.402,158.91,158.91,91.093,91.093,72.402,158.91,158.91,177.6,72.402,91.093,72.402,158.91,177.6,158.91,158.91,177.6,177.6,72.402,0.5,0.49997,0.5,0.49999,0.5,0.49997,0.49999,0.49996,0.5,0.49999,0.49996,0.49997,0.5,0.5,0.5,0.49997,0.5,0.5,0.49997,0.49997,0.49999,0.49996,0.5,0.49999,0.49997,0.5,0.49996,0.49999,0.49999,0.49996,0.5,0.5,0.5,0.49996,4.6481,2867.4,1666.7,1000,0,0.69405,200,0.00097655,17,17
4,231.2,120.11,29.758,120.81,0.0029611,120.11,29.763,0.81869,249.93,238.87,129.26,239.66,29.838,109.78,101.31,11.038,220.95,220.93,148.58,140.22,18.805,101.46,10.368,249.14,139.51,102.06,0.81125,130,10.306,129.94,220.87,101.42,139.45,249.26,11.041,140.19,129.94,129.88,10.382,147.94,101.4,120.82,220.19,18.769,10.416,91.866,239.55,110.53,29.018,139.53,220.19,238.99,91.079,91.753,29.051,102.05,148.69,129.92,110.45,220.9,110.52,148.65,10.386,147.87,102.13,102.13,0.11524,129.21,0.49996,0.49996,0.49994,0.5,0.49994,0.5,0.49996,0.49994,0.49996,0.49994,0.4999,0.49996,0.49995,0.4999,0.49995,0.49991,0.4999,0.49991,0.5,0.49994,0.49994,0.49999,0.49999,0.49994,0.5,0.49995,0.5,0.49995,0.49991,0.49995,0.4999,0.49994,0.49994,0.49995,7.6317,2867.4,1666.7,1000,0,0.69403,200,0.0012361,7,7
5,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.039,2867.4,1666.7,1000,0,0.69294,200,0.01693,17,17
6,94.445,162.24,93.385,74.67,165.65,173.41,160.16,221.41,74.82,83.278,72.317,166.72,163.15,246.54,177.68,155.56,152.41,89.686,76.595,244.46,154.48,154.48,16.705,231.52,165.65,82.425,76.595,143.67,166.52,87.911,3.6137,106.48,106.33,94.295,85.409,160.31,70.542,5.5384,3.4641,96.369,84.499,154.33,17.571,177.53,85.558,93.236,152.41,166.37,160.16,155.7,148.13,84.349,76.744,156.61,28.737,108.25,85.558,76.595,234.5,99.793,233.29,28.737,173.41,232.43,16.556,28.737,15.646,161.22,0.49994,0.49997,0.49997,0.49996,0.49999,0.5,0.49997,0.49994,0.49996,0.49997,0.49999,0.49993,0.49996,0.49994,0.49994,0.49996,0.49993,0.49994,0.49991,0.49994,0.49993,0.49996,0.49994,0.49997,0.49994,0.49996,0.49993,0.4999,0.49996,0.49993,0.49994,0.49996,0.49994,0.49996,7.1706,2867.4,1666.7,1000,0,0.69425,200,0.0019893,11,6
7,249.85,0.25723,249.56,0.25723,0.25723,0.15131,0.33495,0.25723,0.25723,0.33495,0.33495,249.56,249.74,249.74,0.15131,249.74,0.44086,0.25723,0.33495,249.67,249.74,249.56,0.25723,0.15131,0.33495,0.15131,0.33495,0.25723,249.85,0.33495,0.33495,0.25723,0.15131,249.67,0.15131,0.25723,249.85,249.67,249.74,0.15131,0.33495,249.85,0.25723,249.56,249.85,0.33495,0.33495,249.67,249.56,0.25723,0.25723,0.33495,0.15131,249.85,0.44086,0.25723,249.74,0.15131,0.25723,249.67,249.85,0.44086,249.67,249.56,249.74,249.85,249.67,249.85,0.4999,0.5,0.4999,0.4999,0.4999,0.4999,0.4999,0.5,0.4999,0.4999,0.4999,0.5,0.4999,0.5,0.5,0.4999,0.4999,0.5,0.5,0.4999,0.4999,0.4999,0.4999,0.5,0.4999,0.4999,0.4999,0.5,0.5,0.5,0.4999,0.5,0.4999,0.4999,5.4881,2867.4,1666.7,1000,0,0.69352,200,0.0084947,5,7
8,221.66,43.983,235.53,235.53,28.34,219.89,221.66,206.02,221.66,43.983,219.89,28.34,190.02,206.02,30.114,206.02,14.471,219.89,221.66,14.471,219.89,28.34,43.983,206.02,219.89,43.983,219.89,14.471,43.983,235.53,28.34,14.471,28.34,206.02,30.114,221.66,219.89,235.53,14.471,219.89,14.471,30.114,235.53,30.114,14.471,43.983,28.34,28.34,235.53,43.983,221.66,206.02,219.89,43.983,43.983,43.983,14.471,221.66,14.471,219.89,221.66,206.02,14.471,28.34,219.89,30.114,14.471,43.983,0.49992,0.49999,0.49992,0.49992,0.49991,0.49992,0.49992,0.5,0.49999,0.49991,0.49999,0.49999,0.5,0.49999,0.49992,0.5,0.49991,0.49992,0.49999,0.49992,0.49992,0.49992,0.49991,0.49999,0.5,0.49992,0.49992,0.49991,0.49991,0.49999,0.5,0.5,0.49991,0.49992,5.825,2867.4,1666.7,1000,0,0.69385,200,0.0038515,8,6
9,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.0623,2867.4,1666.7,1000,0,0.69294,200,0.01693,17,17
10,1.944,248.06,1.944,1.944,248.06,248.06,1.944,1.944,248.06,248.06,248.06,1.944,248.06,248.06,1.944,1.944,248.06,248.06,248.06,248.06,248.06,248.06,248.06,1.944,1.944,1.944,248.06,248.06,1.944,1.944,1.944,248.06,1.944,248.06,248.06,1.944,248.06,248.06,1.944,248.06,1.944,1.944,1.944,248.06,248.06,248.06,248.06,248.06,248.06,1.944,248.06,248.06,1.944,1.944,1.944,1.944,248.06,248.06,1.944,1.944,1.944,248.06,1.944,248.06,248.06,1.944,248.06,248.06,0.4999,0.4999,0.5,0.5,0.5,0.5,0.5,0.4999,0.5,0.4999,0.5,0.4999,0.5,0.5,0.5,0.4999,0.5,0.5,0.4999,0.5,0.4999,0.4999,0.4999,0.4999,0.5,0.4999,0.5,0.5,0.5,0.4999,0.5,0.5,0.4999,0.5,4.2661,2867.4,1666.7,1000,0,0.69336,200,0.010808,11,9
