index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,245.3,247.08,73.762,71.52,249.32,247.99,1.9932,247.03,2.8423,179.47,2.101,71.107,0.4999,0.49993,0.49993,0.5,0.4999,0.49993,9.9615,16.679,16.667,0.0003,0,0.0077858,0.0022,0.002451,0,1
2,207.98,228.76,59.036,63.037,203.98,189.26,42.018,203.98,226.46,6.8735,187.91,58.089,0.49998,0.4999,0.49998,0.49993,0.49992,0.49998,5.5175,16.679,16.667,0.0003,0,0.0078036,0.0022,0.0022289,2,1
3,0.081059,247.6,247.55,250,247.6,249.97,247.57,2.4322,0.010916,247.62,247.54,247.54,0.4999,0.5,0.4999,0.4999,0.5,0.4999,12.59,16.679,16.667,0.0003,0,0.007794,0.0022,0.002349,1,1
4,0.2116,240.27,217.81,237.31,226.91,212.9,235.16,210.33,215.04,210.12,26.512,32.186,0.49999,0.49991,0.49999,0.49991,0.49999,0.49999,8.3586,16.68,16.667,0.0003,0,0.0077212,0.0022,0.0032607,2,2
5,117.28,149.29,57.942,163.83,147.49,131.45,107.15,157.18,115.58,193.92,82.25,151.3,0.49994,0.49991,0.49993,0.49999,0.49994,0.49993,5.8502,16.68,16.667,0.0003,0,0.0076973,0.0022,0.00356,0,1
6,215.33,215.33,34.673,215.33,96.043,215.33,96.043,153.96,96.043,153.96,34.673,153.96,0.49998,0.49998,0.49998,0.49993,0.49995,0.49995,3.5909,16.682,16.667,0.005,0,0.0079509,0.0022,0.00038337,3,2
7,1.2601,247.22,249.64,223.16,4.9763,4.9571,248.76,4.9571,25.936,1.2601,225.35,23.471,0.49991,0.49999,0.49991,0.4999,0.4999,0.49999,4.9401,16.679,16.667,0.0003,0,0.007787,0.0022,0.0024364,1,1
8,0.68231,85,234.16,174.65,240.23,2.9821,13.554,231.13,177.45,73.627,218.77,241.01,0.49991,0.49993,0.49992,0.49993,0.49997,0.49991,10.14,16.68,16.667,0.0003,0,0.0077738,0.0022,0.0026016,0,1
9,204.42,244.75,42.218,42.923,246.63,42.518,0.035014,244.83,39.925,207.01,8.322,42.95,0.49992,0.4999,0.49992,0.4999,0.5,0.4999,6.6961,16.679,16.667,0.0003,0,0.0077981,0.0022,0.0022979,0,1
10,160.1,160.1,89.902,160.1,89.902,89.902,89.902,160.1,160.1,89.902,89.902,89.902,0.49997,0.5,0.49997,0.5,0.49997,0.5,3.9515,16.683,16.667,0.005,0,0.0078428,0.0022,0.0017371,3,3
