index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,220.59,29.411,49.565,8.1351,8.1351,220.59,200.44,200.44,70.841,179.16,241.86,241.86,241.86,200.44,220.59,70.841,220.59,241.86,220.59,200.44,29.411,49.565,241.86,49.565,8.1351,200.44,200.44,200.44,220.59,220.59,8.1351,220.59,0.49992,0.49992,0.49993,0.49992,0.49993,0.49991,0.49992,0.49992,0.49991,0.49992,0.49999,0.49992,0.49997,0.49992,0.5,0.49992,3.8696,16.682,16.667,0.005,0,0.0072745,0.0022,0.00046151,0,3
2,58.619,27.247,188.74,204.14,43.126,180.59,0.3403,215.93,208.88,53.55,201.89,207.5,210.28,222.44,204.99,40.075,215.98,233.5,213.31,210.32,222.75,13.761,203.05,43.648,40.014,184.25,192.93,211.07,36.281,27.204,49.697,236.36,0.49999,0.49999,0.49991,0.49999,0.5,0.49998,0.49998,0.49994,0.4999,0.49997,0.49993,0.49997,0.49998,0.49991,0.49999,0.49998,8.6953,16.682,16.667,0.005,0,0.0072129,0.0022,0.0013043,6,5
3,248.38,244.68,238.43,238.27,233.06,247.47,233.06,249.51,248.05,5.143,14.888,1.6304,245.05,234.44,16.987,249.15,232.69,3.7338,11.531,245.06,15.094,5.0971,236.22,246.58,236.11,247.8,11.902,245.68,232.59,0.80851,236.53,0.68976,0.5,0.49991,0.4999,0.4999,0.49999,0.49991,0.4999,0.49999,0.4999,0.4999,0.5,0.5,0.4999,0.4999,0.49999,0.5,8.4105,16.682,16.667,0.005,0,0.0072625,0.0022,0.00062581,3,4
4,173.36,207.59,59.555,51.242,76.415,86.194,239.94,149.6,198.76,164.07,207.33,114.42,134.6,149.83,10.423,76.839,238.4,3.0646,107.17,125.64,239.84,142.47,135.55,105.96,77.819,166.62,54.145,126.03,151.04,143.69,40.871,41.101,0.4999,0.49995,0.49993,0.49996,0.49995,0.49994,0.49996,0.49993,0.49995,0.49993,0.49995,0.49995,0.49992,0.49997,0.49997,0.49995,7.303,16.681,16.667,0.005,0,0.0072956,0.0022,0.0001729,2,3
5,89.837,89.837,160.16,160.16,89.837,89.837,89.837,160.16,160.16,89.837,89.837,89.837,89.837,160.16,160.16,89.837,160.16,89.837,160.16,89.837,160.16,89.837,160.16,160.16,89.837,89.837,160.16,89.837,89.837,160.16,89.837,89.837,0.5,0.49997,0.5,0.5,0.49997,0.49997,0.5,0.5,0.5,0.5,0.49997,0.5,0.49997,0.5,0.5,0.5,4.858,16.684,16.667,0.007,0,0.0072562,0.0022,0.0007125,8,8
6,218.64,218.64,218.64,218.64,31.363,31.363,218.64,31.363,218.64,218.64,218.64,31.363,31.363,31.363,218.64,31.363,218.64,31.363,31.363,31.363,31.363,218.64,31.363,218.64,218.64,218.64,31.363,31.363,218.64,31.363,31.363,31.363,0.5,0.49993,0.49993,0.5,0.5,0.5,0.49993,0.49993,0.5,0.5,0.49993,0.49993,0.5,0.49993,0.5,0.49993,4.7245,16.682,16.667,0.005,0,0.0072204,0.0022,0.0012028,4,4
7,14.703,217.03,0.13212,219.54,219.9,245.8,231.94,246.33,249.21,209.04,41.007,209.04,14.703,30.76,6.1854,229.42,219.54,223.08,206,0.31161,205.86,46.881,16.915,27.537,247.31,205.19,245.8,32.972,206,204.97,0.83708,29.613,0.49999,0.4999,0.5,0.49998,0.49999,0.4999,0.5,0.49991,0.49999,0.49991,0.5,0.49992,0.49991,0.49992,0.49992,0.49998,5.7759,16.682,16.667,0.005,0,0.0072795,0.0022,0.00039372,5,3
8,82.923,72.056,53.345,177.31,186.28,147.95,39.976,85.682,87.379,101,161.37,249.48,52.016,74.248,129.79,248.25,226.39,73.016,64.215,83.949,149.04,152.16,212.5,101.02,22.383,119.46,135.2,152.6,177.33,169.96,196.69,231.92,0.49995,0.49993,0.49991,0.49991,0.49991,0.49993,0.49995,0.49994,0.4999,0.49994,0.49992,0.49999,0.49998,0.49993,0.49991,0.49992,9.4358,16.682,16.667,0.005,0,0.0073399,0.0022,0.00043248,0,2
9,114.56,73.078,64.925,51.037,14.294,235.8,193.67,235.79,190.37,186.45,191.12,177.56,125.86,111.66,67.075,58.875,70.265,191.02,58.978,149.62,249.26,172.27,61.688,135.54,55.685,126.94,52.895,185.82,61.775,101,185.73,136.18,0.49998,0.49999,0.49993,0.49991,0.49994,0.49998,0.49993,0.49991,0.49997,0.49997,0.49991,0.49997,0.49993,0.49993,0.49998,0.49998,6.1453,16.684,16.667,0.007,0,0.0073547,0.0022,0.00063583,3,5
10,1.4568,0.069834,144.4,150.55,105.62,241.74,249.28,144.96,247.89,151.27,98.092,142.99,151.16,98.213,104.95,149.84,106.96,0.67391,0.093724,149.81,241.78,151.2,106.25,7.4437,0.73715,242.55,149.73,144.36,145.1,6.8291,151.81,241.72,0.4999,0.5,0.49994,0.4999,0.49996,0.4999,0.49996,0.49994,0.4999,0.49994,0.49996,0.49996,0.4999,0.49996,0.49996,0.4999,10.23,16.681,16.667,0.005,0,0.0072963,0.0022,0.00016374,3,4
