index,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,is_on1,is_on2,is_on3,is_on4,is_on5,is_on6,is_on7,is_on8,is_on9,is_on10,is_on11,is_on12,is_on13,is_on14,is_on15,is_on16,is_on17,is_on18,is_on19,is_on20,is_on21,is_on22,is_on23,is_on24,is_on25,is_on26,is_on27,is_on28,is_on29,is_on30,is_on31,is_on32,is_on33,is_on34,is_on35,is_on36,is_on37,is_on38,is_on39,is_on40,is_on41,is_on42,is_on43,is_on44,is_on45,is_on46,is_on47,is_on48,is_on49,is_on50,is_on51,is_on52,is_on53,is_on54,Time,Total_val,AverageLatency1,AverageLinkFailure1,Transparency1,AverageLatency2,AverageLinkFailure2,Transparency2,OnControl1,OnControl2
1,50.749,199.25,50.749,50.749,50.749,199.25,50.749,50.749,199.25,199.25,199.25,199.25,199.25,50.749,199.25,151.7,50.749,199.25,50.749,50.749,50.749,50.749,50.749,50.749,199.25,199.25,199.25,199.25,50.749,50.749,199.25,50.749,50.749,199.25,199.25,50.749,199.25,199.25,50.749,50.749,50.749,199.25,50.749,199.25,50.749,199.25,50.749,50.749,50.749,199.25,50.749,199.25,50.749,199.25,199.25,199.25,199.25,199.25,50.749,50.749,199.25,50.749,199.25,50.749,50.749,199.25,199.25,50.749,50.749,50.749,199.25,50.749,199.25,199.25,199.25,199.25,199.25,199.25,199.25,50.749,199.25,199.25,50.749,50.749,50.749,199.25,199.25,50.749,50.749,199.25,199.25,199.25,199.25,50.749,199.25,50.749,199.25,50.749,50.749,199.25,50.749,50.749,199.25,50.749,50.749,199.25,50.749,50.749,0.49994,0.5,0.5,0.5,0.5,0.5,0.5,0.49994,0.5,0.49994,0.5,0.49994,0.5,0.5,0.49994,0.5,0.5,0.49994,0.49994,0.5,0.49994,0.49994,0.49994,0.49994,0.49994,0.49994,0.5,0.5,0.5,0.5,0.5,0.49994,0.5,0.5,0.49994,0.49994,0.49994,0.5,0.49994,0.5,0.5,0.5,0.5,0.5,0.5,0.49994,0.49994,0.49994,0.5,0.5,0.5,0.49994,0.49994,0.49994,3.6751,16.677,16.667,0.001,0,0.0066823,0.003,0.00012506,14,16
2,216.67,116.88,216.67,116.88,116.88,33.326,116.88,33.326,116.88,33.326,216.67,133.12,133.12,133.12,116.88,216.67,133.12,33.326,216.67,116.88,33.326,116.88,116.88,216.67,33.326,216.67,33.326,116.88,133.12,33.326,116.88,216.67,133.12,33.326,216.67,33.326,216.67,133.12,216.67,216.67,116.88,33.326,116.88,133.12,116.88,133.12,133.12,116.88,133.12,133.12,133.12,33.326,33.326,133.12,133.12,216.67,116.88,116.88,216.67,33.326,216.67,33.326,33.326,33.326,216.67,33.326,216.67,33.326,216.67,133.12,133.12,33.326,133.12,33.326,133.12,116.88,116.88,33.326,116.88,33.326,216.67,216.67,33.326,133.12,116.88,116.88,33.326,216.67,33.326,33.326,216.67,216.67,116.88,216.67,216.67,33.326,33.326,116.88,33.326,162.33,133.12,216.67,116.88,216.67,216.67,33.326,216.67,116.88,0.49996,0.49997,0.49997,0.5,0.49996,0.49993,0.5,0.49996,0.5,0.49997,0.49996,0.49996,0.49993,0.5,0.5,0.49997,0.5,0.49996,0.5,0.49996,0.49997,0.49996,0.49997,0.5,0.49996,0.49997,0.49997,0.49997,0.49996,0.49993,0.49993,0.49993,0.49997,0.49996,0.49996,0.49997,0.49993,0.5,0.49997,0.49993,0.49997,0.5,0.49996,0.49993,0.49997,0.49996,0.49993,0.49996,0.49996,0.49996,0.49996,0.49993,0.49997,0.49997,3.9778,16.678,16.667,0.001,0,0.0067092,0.003,0.00027705,25,19
3,245.47,126.39,1.3493,126.99,5.4013,126.37,4.8842,245.53,4.22,8.6971,245.97,3.2744,245.57,247.72,119.45,244.57,126.38,126.96,7.1862,245.08,129.2,120.36,127.52,248.98,121.81,1.3546,126.96,4.1338,124.53,244.53,8.1056,5.0245,126.7,0.95155,246.3,125.73,125.75,6.8518,123.42,4.866,124.25,123.09,3.3561,127.84,123.56,125.65,119.39,240.92,118.59,121.89,3.2653,123.15,119.46,127.82,123.95,5.511,7.2246,121.83,4.4362,241.85,127.37,126.73,125.74,120.78,7.1715,126.37,127.78,118.67,6.9358,122.46,0.98668,130.11,244.58,127.83,245.73,130.52,130.17,248.99,130.49,122.17,119.73,123.41,245.5,242.28,242.16,123.61,0.089724,123.37,126.06,129.55,1.8712,249.54,118.66,123.36,4.499,1.3505,123.08,5.8582,244.93,129.59,124.65,0.48893,127.4,245.15,124.58,246.4,122.47,124.53,0.49995,0.4999,0.49995,0.49995,0.4999,0.49995,0.4999,0.5,0.4999,0.49995,0.49995,0.4999,0.49995,0.49995,0.49995,0.49995,0.49995,0.4999,0.4999,0.4999,0.49995,0.49995,0.4999,0.49995,0.49995,0.49995,0.49995,0.5,0.49995,0.49995,0.4999,0.49995,0.5,0.49995,0.4999,0.49995,0.5,0.4999,0.5,0.4999,0.5,0.49995,0.5,0.4999,0.49995,0.4999,0.49995,0.49995,0.49995,0.5,0.49995,0.49995,0.4999,0.4999,7.8905,16.677,16.667,0.001,0,0.0066936,0.003,4.46e-05,10,15
4,182.13,17.429,245.02,42.143,128.68,184.46,171.61,173.11,191.65,77.958,232.23,6.1487,174.11,206.63,167.97,209.7,244.57,5.3007,65.41,142.57,128.39,110.47,80.21,41.886,131.83,66.238,77.047,140.7,249.11,247.27,66.38,167.07,55.194,79.182,185.62,184.24,177.82,183.82,172.93,115.49,79.784,192.1,230.44,58.963,248.22,145.2,79.848,192.56,68.67,249.72,119.84,40.075,66.041,233.72,55.195,194.56,79.877,54.858,106.26,65.154,129.67,231.78,68.022,206.17,119.9,192.88,183.61,46.834,140.34,4.6803,245.51,45.812,145.1,54.946,57.209,233.98,132.17,247.74,81.069,80.676,129.41,172.84,144.06,75.87,105.56,127.9,58.333,134.26,105.69,204.94,107.81,244.41,120.43,245.3,72.178,78.038,244.13,244.67,207.4,218.96,54.548,247.13,234.47,169.44,41.193,206.87,132.58,16.97,0.49997,0.49999,0.49991,0.49996,0.49997,0.49998,0.49992,0.4999,0.49997,0.49997,0.49995,0.49992,0.49993,0.49999,0.49995,0.49993,0.49993,0.49996,0.49994,0.49997,0.49998,0.49992,0.5,0.49999,0.4999,0.49991,0.49993,0.49991,0.5,0.49992,0.49999,0.49999,0.49997,0.49993,0.49998,0.49996,0.49997,0.49992,0.49992,0.49996,0.49998,0.5,0.49993,0.49992,0.49995,0.49996,0.49995,0.49998,0.49994,0.49995,0.4999,0.49998,0.4999,0.49995,9.463,16.677,16.667,0.001,0,0.0066843,0.003,9.4744e-05,14,15
5,160.54,90.12,0.79915,6.0886,165.15,165.33,84.194,160.22,164.86,244.3,245.06,84.964,85.796,249.97,5.9339,4.6363,1.3169,244.46,0.17877,0.13668,1.5791,2.4723,245.63,1.396,5.5208,164.69,1.7239,1.0682,0.81772,244.47,161.03,86.069,89.267,1.9638,160.86,243.94,90.089,0.46703,85.1,160.73,84.76,247.88,249.02,160.27,161.42,89.984,160.21,1.785,165.87,1.1295,164.82,1.2556,85.118,1.5656,160.67,84.524,84.914,88.75,5.1552,165.13,245.37,4.8911,245.72,4.2372,244.28,164.48,244.36,160.02,85.261,1.5142,6.2488,4.7371,248.86,5.5208,164.82,1.8099,164.54,0.98475,85.739,243.83,249.03,2.0208,1.1561,243.95,249.09,1.5191,248.03,84.141,84.931,5.9525,86.214,248.54,163.76,244.55,245.72,161.03,89.5,1.6886,84.479,160.64,161.95,165.83,85.863,248.96,88.944,4.8471,0.62959,89.984,0.4999,0.49993,0.49997,0.5,0.49994,0.49996,0.4999,0.4999,0.49993,0.4999,0.4999,0.49996,0.5,0.49993,0.49993,0.49993,0.49997,0.5,0.49996,0.49993,0.5,0.4999,0.49994,0.5,0.49993,0.5,0.5,0.49994,0.49997,0.4999,0.4999,0.49994,0.49997,0.49997,0.49994,0.49996,0.49996,0.5,0.49994,0.5,0.49994,0.49997,0.5,0.49997,0.5,0.5,0.4999,0.49996,0.5,0.49996,0.49996,0.5,0.4999,0.49994,10.16,16.677,16.667,0.001,0,0.006682,0.003,0.00012899,12,17
6,13.747,202.02,206.57,250,246.28,246.92,231.1,5.9734,12.658,234.81,201.84,57.55,196.63,54.396,207.86,48.257,7.2067,49.111,49.661,24.704,184.12,61.339,241.17,193.36,23.194,207.03,199.87,65.543,55.816,232.67,185.91,6.5244,57.954,14.907,41.587,66.508,5.2914,44.395,240.09,14.043,206.56,54.917,50.966,196.43,206.35,13.628,14.239,51.09,60.208,244.77,7.2091,60.934,238.63,237.95,241.32,54.307,234.19,66.227,208.14,194.52,199.31,65.952,194.52,23.538,190.74,52.55,19.349,208.26,59.838,18.524,188.1,248.49,245.05,20.166,186.18,9.5116,10.186,62.166,4.3197,247.74,248.22,58.632,235.95,236.66,22.157,19.763,19.353,238.76,189.06,0.95928,239.59,186.53,52.142,16.152,45.72,4.951,187.49,247.81,191.49,189.89,229.87,237.53,7.9307,1.5165,5.9724,3.0808,206.29,3.9917,0.49998,0.49992,0.49998,0.49997,0.49999,0.49992,0.49993,0.49999,0.4999,0.49993,0.49992,0.49991,0.49992,0.49992,0.49998,0.49998,0.49998,0.49999,0.49998,0.49992,0.5,0.49999,0.49992,0.4999,0.49999,0.5,0.4999,0.49992,0.49999,0.49998,0.49991,0.49991,0.49992,0.49991,0.49993,0.49999,0.49991,0.49991,0.49991,0.49998,0.49991,0.49992,0.49999,0.49992,0.49991,0.49999,0.49991,0.49997,0.49991,0.49998,0.49992,0.49992,0.49998,0.4999,6.1521,16.678,16.667,0.001,0,0.0067025,0.003,0.000178,14,9
7,7.3473,60.297,214.81,48.803,83.63,217.61,45.907,181.86,230.68,59.112,65.363,72.773,44.893,204.28,220.4,12.201,228.14,78.301,177.9,49.998,23.814,218.98,208.5,47.466,51.371,68.32,202.23,45.74,187.84,206.66,206.94,179.89,203.89,77.117,219.23,17.524,55.776,22.175,210.28,18.575,4.2096,190.68,179.17,19.752,19.719,49.885,186.75,178.25,213.28,165.46,238.07,163.34,171.45,203.78,230.21,75.274,27.728,211.61,31.353,200.81,47.107,81.205,78.824,80.237,225.38,173.99,183.02,48.237,186.45,211.49,37.509,174.29,57.525,195.3,45.652,203.05,10.003,26.899,49.485,68.041,82.714,173.37,209.56,44.767,222.69,11.242,29.868,195.59,234.38,213.75,234.23,19.384,21.334,37.974,229.24,67.906,43.048,239.31,73.559,172.55,46.087,18.364,79.806,16.378,167.63,221.78,23.692,215.22,0.49993,0.49991,0.49998,0.49993,0.49998,0.49992,0.49991,0.4999,0.49993,0.49998,0.49991,0.49998,0.49992,0.49992,0.49998,0.49993,0.49992,0.49993,0.49997,0.49992,0.49992,0.49999,0.49998,0.49997,0.49999,0.49991,0.49993,0.49998,0.49991,0.49993,0.49998,0.49991,0.49992,0.49992,0.49999,0.49999,0.49997,0.49992,0.49999,0.49992,0.4999,0.49992,0.49992,0.49993,0.49998,0.49992,0.49991,0.49998,0.49999,0.49991,0.49993,0.49993,0.49991,0.49999,12.074,16.677,16.667,0.001,0,0.0066812,0.003,0.00014168,10,10
8,144.67,52.057,52.057,105.33,105.33,144.67,52.057,144.67,52.057,197.94,197.94,197.94,197.94,52.057,144.67,144.67,197.94,144.67,52.057,105.33,197.94,105.33,144.67,197.94,105.33,105.33,144.67,52.057,105.33,144.67,144.67,52.057,105.33,144.67,152.76,52.057,52.057,52.057,105.33,105.33,105.33,105.33,197.94,197.94,144.67,197.94,105.33,197.94,105.33,197.94,52.057,197.94,144.67,105.33,144.67,144.67,197.94,52.057,144.67,197.94,52.057,197.94,197.94,52.057,105.33,197.94,197.94,52.057,105.33,197.94,52.057,197.94,144.67,105.33,197.94,52.057,105.33,197.94,105.33,105.33,144.67,197.94,197.94,52.057,144.67,105.33,197.94,144.67,144.67,52.057,197.94,197.94,197.94,144.67,144.67,52.057,105.33,144.67,197.94,197.94,144.67,52.057,52.057,52.057,105.33,105.33,52.057,144.67,0.49998,0.49996,0.49994,0.5,0.49994,0.49996,0.49994,0.49996,0.49996,0.49998,0.49996,0.49998,0.49998,0.49996,0.5,0.5,0.49994,0.49994,0.49994,0.49996,0.5,0.49996,0.49994,0.49996,0.5,0.5,0.49994,0.49994,0.49998,0.49994,0.49996,0.49996,0.49996,0.49996,0.49998,0.5,0.49996,0.49996,0.5,0.5,0.5,0.5,0.49996,0.49994,0.5,0.5,0.49994,0.5,0.49994,0.49998,0.5,0.49998,0.49994,0.5,4.0229,16.678,16.667,0.001,0,0.0067014,0.003,0.00016069,19,21
9,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.607,16.679,16.667,0.001,0,0.0067769,0.003,0.0012887,27,27
10,147.55,46.469,46.469,203.53,102.45,1.5981,102.45,248.4,102.45,203.53,192.42,57.577,46.469,147.55,46.469,248.4,147.55,147.55,1.5981,46.469,102.45,248.4,147.55,192.42,57.577,248.4,46.469,192.42,102.45,57.577,147.55,1.5981,147.55,102.45,192.42,102.45,147.55,203.53,57.577,1.5981,203.53,102.45,192.42,192.42,1.5981,102.45,147.55,46.469,192.42,248.4,147.55,147.55,147.55,46.469,46.469,1.5981,102.45,203.53,203.53,203.53,203.53,102.45,192.42,102.45,102.45,46.469,57.577,147.55,248.4,46.469,46.469,1.5981,57.577,192.42,1.5981,203.53,57.577,192.42,46.469,102.45,1.5981,192.42,248.4,192.42,248.4,102.45,57.577,147.55,248.4,46.469,192.42,203.53,1.5981,57.577,248.4,147.55,192.42,203.53,102.45,102.45,192.42,147.55,1.5981,248.4,203.53,102.45,102.45,147.55,0.49992,0.49998,0.49994,0.49992,0.49998,0.49992,0.49996,0.49994,0.4999,0.49992,0.49996,0.49992,0.4999,0.49998,0.49998,0.49998,0.49998,0.4999,0.49992,0.4999,0.4999,0.49992,0.49994,0.49992,0.49992,0.49994,0.49998,0.49992,0.4999,0.49994,0.49994,0.49998,0.49996,0.49996,0.5,0.49996,0.49998,0.49996,0.49992,0.49998,0.49992,0.5,0.49992,0.49994,0.4999,0.49996,0.4999,0.49998,0.49992,0.5,0.49998,0.49996,0.49992,0.49998,4.2392,16.677,16.667,0.001,0,0.00669,0.003,8.8401e-06,9,15
